battery_id,sortie_id,takeoff_s,return_s,energy_kwh
BAT-A-01,M001,390.0,2430.1513330228986,3.1183767060990117
BAT-C-01,M002,510.0,1560.170391878965,2.995742764547403
BAT-B-01,M003,390.0,1869.7521946190163,2.1403030047614893
BAT-B-02,M004,390.0,1816.6939339219116,2.7133927146782657
BAT-C-02,M005,480.0,1494.170391878965,2.638536993772959
BAT-A-02,M006,390.0,2475.628026897929,2.9599649840825455
BAT-A-03,M007,360.0,1654.8593983215956,1.954809785440372
BAT-A-04,M008,360.0,1609.4665893798526,1.9568412244277686
BAT-B-03,M009,2176.6939339219116,3023.9708467437686,1.0987637384368147
BAT-C-03,M010,1944.170391878965,3693.8824764711394,5.836023632389955
BAT-B-04,M011,2259.7521946190163,4199.764393131834,3.0044239062666533
BAT-B-01,M012,3463.8834966823283,5025.5315078555695,2.576489867036754
BAT-B-02,M013,4559.764393131834,5966.6897040403055,2.07023962281821
BAT-A-05,M014,1969.4665893798526,3298.080464093241,2.254800043434852
BAT-A-06,M015,1984.8593983215956,3287.055649939721,2.085939331054696
BAT-A-03,M016,2790.1513330228986,3649.2262541422174,1.1508046748468406
BAT-C-04,M017,2010.170391878965,3601.982410517673,5.721185016831143
BAT-C-01,M018,4021.982410517673,5031.541936458019,2.327805455709593
BAT-C-02,M019,4173.882476471139,6111.316588337516,6.141502088085912
BAT-C-04,M020,5984.8033525761075,7352.1219400607215,3.1446896308474503
BAT-C-01,M021,6531.316588337516,8280.377654930679,5.518469288797766
BAT-C-03,M022,7772.1219400607215,9097.317098256264,3.7870462440380046
BAT-B-03,M023,5355.5315078555695,6460.908410301909,1.5155761936939673
BAT-B-04,M024,6296.6897040403055,7768.04312801169,2.288992826923215
BAT-B-01,M025,6808.67711690483,7866.502804912618,1.5146574548336442
BAT-A-04,M026,2805.628026897929,3666.529172162488,1.1780555951641682
BAT-B-02,M027,8098.04312801169,9206.485375406099,1.7424262240623476
BAT-B-03,M028,8196.502804912618,8931.974457140104,0.8932052893717091
