atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
C01_M003_G00,C01_M003_G00,C01,M003,2415.3125,3271.34375,856.03125,0.0,2.0
C01_M004_G00,C01_M004_G00,C01,M004,814.03125,1755.65625,941.625,0.0,2.0
C01_M005_G00,C01_M005_G00,C01,M005,3172.1625,4104.75625,932.5937500000005,0.0,2.0
C01_M006_G00,C01_M006_G00,C01,M006,5001.18125,5845.65,844.46875,0.0,2.0
C01_M008_G00,C01_M008_G00,C01,M008,786.0625,1185.75,399.6875,0.0,2.0
C01_M009_G00,C01_M009_G00,C01,M009,816.0625,1245.75,429.6875,0.0,2.0
C01_M010_G00,C01_M010_G00,C01,M010,3890.26875,4846.51875,956.25,0.0,2.0
C01_M011_G00,C01_M011_G00,C01,M011,4087.05,4610.95625,523.90625,0.0,2.0
C01_M012_G00,C01_M012_G00,C01,M012,753.6875,1171.15625,417.46875,0.0,2.0
C01_M013_G00,C01_M013_G00,C01,M013,2301.74375,3102.74375,801.0,0.0,2.0
C01_M014_G00,C01_M014_G00,C01,M014,741.6875,1140.6875,399.0,0.0,2.0
C01_M015_G00,C01_M015_G00,C01,M015,2315.3125,2934.46875,619.15625,0.0,2.0
C01_M016_G00,C01_M016_G00,C01,M016,4276.45,4868.6375,592.1875,0.0,2.0
C01_M017_G00,C01_M017_G00,C01,M017,6199.5375,7495.1,1295.5625,0.0,2.0
C01_M018_G00,C01_M018_G00,C01,M018,7512.09375,7570.875,58.78125,0.0,2.0
C01_M018_G01,C01_M018_G01,C01,M018,7602.875,8187.75,584.875,0.0,2.0
C01_M018_G02,C01_M018_G02,C01,M018,8195.28125,8220.625,25.34375,0.0,2.0
C01_M019_G00,C01_M019_G00,C01,M019,846.0625,1237.21875,391.15625,0.0,2.0
