relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_003_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_003_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_003_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_003_R006,5816.564046314104,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_003_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_003_R004,3560.286741363736,5516.564046314104,5816.564046314104,300.0
R02,Q3E8_G04_003_R007,7025.82699268667,10733.439915323072,11033.439915323072,300.0
R02,Q3E8_G04_003_R009,11033.43991532307,12571.105230173433,12871.105230173433,300.0
R01,Q3E8_G04_003_R010,12007.03243653051,13332.751374563673,13632.751374563673,300.0
R01,Q3E8_G04_003_R008,9595.25513158014,11707.032436530508,12007.032436530508,300.0
