sortie_id,uav_type,uav_id,battery_id,service_sequence,box_ids,mass_kg,volume_m3,preparation_start_s,takeoff_s,delivery_s,return_s,energy_kwh,return_soc,battery_ready_s
R001,A,U03,BAT-A-05,O01>S001>O01,S001-WAT-08;S001-FOD-03,22.0,0.055,1159.0749211193188,1519.0749211193188,2067.6488270849313,2409.9760663838774,1.2823246082352031,0.7150389759477327,3280.425397651825
R002,A,U03,BAT-A-03,O01>S001>O01,S001-WAT-07;S001-FOD-02,22.0,0.055,2409.976066383878,2769.976066383878,3318.5499723494904,3660.8772116484365,1.2823246082352031,0.7150389759477327,4531.326542916384
R003,C,U08,BAT-C-02,O01>S001>O01,S001-WAT-06;S001-WAT-05;S001-WAT-04;S001-WAT-03;S001-FOD-01;S001-HYG-02;S001-HYG-01,76.0,0.20600000000000002,0.0,510.0,1248.2701959394824,1560.170391878965,2.917555936277246,0.6353055079653442,3183.6751246207186
R004,A,U01,BAT-A-02,O01>S001>O01,S001-MED-02;S001-WAT-02,17.0,0.039,0.0,360.0,908.5739059656128,1250.9011452645589,1.2403043609953324,0.7243768086677039,2109.2112939965436
R005,A,U02,BAT-A-01,O01>S001>O01,S001-MED-01;S001-WAT-01,17.0,0.039,1712.55936238718,2072.55936238718,2621.1332683527926,2963.4605076517387,1.2403043609953324,0.7243768086677039,3821.7706563837232
R006,A,U01,BAT-A-06,O01>S002>O01,S002-WAT-04;S002-FOD-02,22.0,0.055,1250.9011452645589,1610.9011452645589,2534.7099073715153,3254.638669478472,3.0186602033241243,0.32918662148352795,4626.696061549886
R007,C,U07,BAT-C-01,O01>S002>O01,S002-MED-01;S002-WAT-03;S002-WAT-02;S002-WAT-01;S002-FOD-01;S002-HYG-01,59.0,0.156,0.0,480.0,1487.3160093193542,2107.812018638708,5.8530312852658195,0.26837108934177256,4526.341325064867
R008,A,U03,BAT-A-01,O01>S003>O01,S003-WAT-04;S003-FOD-02,22.0,0.055,3660.877211648437,4020.877211648437,5062.568394693585,5908.3129110720665,3.077219987800369,0.3161733360443625,7297.287574214395
R009,C,U08,BAT-C-02,O01>S003>O01,S003-MED-01;S003-WAT-03;S003-WAT-02;S003-WAT-01;S003-FOD-01;S003-HYG-01,59.0,0.156,3121.7299178193116,3601.7299178193116,4757.906973752501,5539.1640296856895,5.889307062917247,0.2638366171353441,7967.518025892444
R010,C,U07,BAT-C-04,O01>S004>O01,S004-MED-01;S004-WAT-03;S004-WAT-02;S004-WAT-01;S004-FOD-01;S004-HYG-01,59.0,0.156,2107.812018638708,2587.812018638708,3691.31255193529,4408.873085231871,6.152897007997176,0.23088787400035304,6908.616024897772
R011,C,U07,BAT-C-01,O01>S005>O01,S005-MED-01;S005-WAT-03;S005-WAT-02;S005-WAT-01;S005-FOD-01;S005-HYG-01,59.0,0.156,4408.873085231871,4888.873085231871,5782.105664329642,6286.068243427413,4.2221748035098585,0.4722281495612677,8262.907252711333
R012,C,U08,BAT-C-03,O01>S006>O01,S006-MED-01;S006-WAT-03;S006-WAT-02;S006-WAT-01;S006-FOD-01;S006-HYG-01,59.0,0.156,1560.170391878965,2040.170391878965,2769.5951548491385,3121.7299178193116,2.5979763856932365,0.6752529517883454,4658.681855611229
R013,A,U04,BAT-A-04,O01>S007>O01,S007-WAT-02,14.0,0.027,0.0,330.0,1073.91968119359,1652.55936238718,1.8666074942101503,0.5851983346199666,2691.8015273812234
R014,A,U04,BAT-A-02,O01>S007>O01,S007-WAT-01;S007-FOD-01,22.0,0.055,1749.2112939965436,2109.2112939965436,2883.1309751901335,3461.7706563837237,1.9646719686664271,0.5634062291852384,4529.342558442913
R015,A,U02,BAT-A-03,O01>S007>O01,S007-MED-01;S007-HYG-01,9.0,0.047,0.0,360.0,1133.91968119359,1712.55936238718,1.8217148670374108,0.5951744739916864,2738.8325461979875
R016,B,U05,BAT-B-03,O01>S008>O01,S008-WAT-02;S008-HYG-01,20.0,0.062,4621.644837848537,4981.644837848537,5852.792658098725,6523.487145015581,2.763432587771086,0.3091418530572285,8387.64126638305
R017,B,U06,BAT-B-02,O01>S008>O01,S008-MED-01;S008-WAT-01;S008-FOD-01,25.0,0.067,3791.1056185904013,4181.105618590402,5082.25343884059,5752.947925757446,2.9752083647603644,0.2561979088099089,7708.871550486937
