sortie_id,uav_type,battery_id,takeoff_s,return_s,return_soc,battery_ready_s
R001,A,BAT-A-05,1519.0749211193188,2409.9760663838774,0.7150389759477327,3280.425397651825
R002,A,BAT-A-03,2769.976066383878,3660.8772116484365,0.7150389759477327,4531.326542916384
R003,C,BAT-C-02,510.0,1560.170391878965,0.6353055079653442,3183.6751246207186
R004,A,BAT-A-02,360.0,1250.9011452645589,0.7243768086677039,2109.2112939965436
R005,A,BAT-A-01,2072.55936238718,2963.4605076517387,0.7243768086677039,3821.7706563837232
R006,A,BAT-A-06,1610.9011452645589,3254.638669478472,0.32918662148352795,4626.696061549886
R007,C,BAT-C-01,480.0,2107.812018638708,0.26837108934177256,4526.341325064867
R008,A,BAT-A-01,4020.877211648437,5908.3129110720665,0.3161733360443625,7297.287574214395
R009,C,BAT-C-02,3601.7299178193116,5539.1640296856895,0.2638366171353441,7967.518025892444
R010,C,BAT-C-04,2587.812018638708,4408.873085231871,0.23088787400035304,6908.616024897772
R011,C,BAT-C-01,4888.873085231871,6286.068243427413,0.4722281495612677,8262.907252711333
R012,C,BAT-C-03,2040.170391878965,3121.7299178193116,0.6752529517883454,4658.681855611229
R013,A,BAT-A-04,330.0,1652.55936238718,0.5851983346199666,2691.8015273812234
R014,A,BAT-A-02,2109.2112939965436,3461.7706563837237,0.5634062291852384,4529.342558442913
R015,A,BAT-A-03,360.0,1712.55936238718,0.5951744739916864,2738.8325461979875
R016,B,BAT-B-03,4981.644837848537,6523.487145015581,0.3091418530572285,8387.64126638305
R017,B,BAT-B-02,4181.105618590402,5752.947925757446,0.2561979088099089,7708.871550486937
R018,B,BAT-B-01,3453.2025904541274,4621.644837848536,0.4759473657320945,6196.669403912905
R019,B,BAT-B-01,390.0,1555.376902446339,0.5442135670880817,3012.0733861603303
R020,A,BAT-A-01,330.0,1159.0749211193188,0.7485961407191224,1985.8999381844594
R021,A,BAT-A-04,3323.460507651739,4182.535428771058,0.7523262976126349,5004.511241874632
R022,B,BAT-B-02,390.0,1921.353423971385,0.31204944738877405,3780.4677151641763
R023,B,BAT-B-03,1945.376902446339,3063.202590454127,0.5440847874461384,4520.122292214153
R024,B,BAT-B-04,2311.353423971385,3791.105618590401,0.4649242488096277,5385.236920653713
R025,A,BAT-A-05,3584.6386694784715,5161.879732755988,0.4602821269868903,6363.51296767303
R026,A,BAT-A-03,4531.326542916384,6138.5676061939,0.4684885095297219,7329.532543805261
