sortie_id,uav_type,uav_id,preparation_start_s,return_s
R001,A,U03,1159.0749211193188,2409.9760663838774
R002,A,U03,2409.976066383878,3660.8772116484365
R003,C,U08,0.0,1560.170391878965
R004,A,U01,0.0,1250.9011452645589
R005,A,U02,1712.55936238718,2963.4605076517387
R006,A,U01,1250.9011452645589,3254.638669478472
R007,C,U07,0.0,2107.812018638708
R008,A,U03,3660.877211648437,5908.3129110720665
R009,C,U08,3121.7299178193116,5539.1640296856895
R010,C,U07,2107.812018638708,4408.873085231871
R011,C,U07,4408.873085231871,6286.068243427413
R012,C,U08,1560.170391878965,3121.7299178193116
R013,A,U04,0.0,1652.55936238718
R014,A,U04,1749.2112939965436,3461.7706563837237
R015,A,U02,0.0,1712.55936238718
R016,B,U05,4621.644837848537,6523.487145015581
R017,B,U06,3791.1056185904013,5752.947925757446
R018,B,U05,3063.2025904541274,4621.644837848536
R019,B,U05,0.0,1555.376902446339
R020,A,U03,0.0,1159.0749211193188
R021,A,U02,2963.460507651739,4182.535428771058
R022,B,U06,0.0,1921.353423971385
R023,B,U05,1555.376902446339,3063.202590454127
R024,B,U06,1921.353423971385,3791.105618590401
R025,A,U01,3254.6386694784715,5161.879732755988
R026,A,U04,4171.326542916384,6138.5676061939
