box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag,group_id
S001-FOD-01,M001,S001,1182.2701959394824,7200.0,,,True,0.16420419388048366,F13,G1
S001-WAT-02,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,F13,G1
S001-WAT-03,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,F13,G1
S001-WAT-04,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,F13,G1
S001-WAT-05,M001,S001,1182.2701959394824,3600.0,,,True,0.3284083877609673,F13,G1
S001-WAT-01,M001,S001,1182.2701959394824,3600.0,3600.0,3600.0,True,0.3284083877609673,F13,G1
S001-MED-01,M002,S001,1380.2701959394824,3600.0,3600.0,3600.0,True,0.3834083877609673,F13,G1
S001-MED-02,M002,S001,1380.2701959394824,3600.0,,3600.0,True,0.3834083877609673,F13,G1
S001-HYG-01,M002,S001,1380.2701959394824,10800.0,,,True,0.12780279592032245,F13,G1
S001-HYG-02,M002,S001,1380.2701959394824,10800.0,,,True,0.12780279592032245,F13,G1
S001-FOD-02,M002,S001,1380.2701959394824,7200.0,,,True,0.19170419388048365,F13,G1
S001-FOD-03,M002,S001,1380.2701959394824,7200.0,,,True,0.19170419388048365,F13,G1
S001-WAT-06,M002,S001,1380.2701959394824,3600.0,,,True,0.3834083877609673,F13,G1
S001-WAT-07,M002,S001,1380.2701959394824,3600.0,,,True,0.3834083877609673,F13,G1
S001-WAT-08,M002,S001,1380.2701959394824,3600.0,,,True,0.3834083877609673,F13,G1
S002-FOD-01,M003,S002,1283.8087621069562,7200.0,,,True,0.17830677251485502,F13,G2
S002-WAT-02,M003,S002,1283.8087621069562,3600.0,,,True,0.35661354502971004,F13,G2
S002-MED-01,M004,S002,2981.5160093193545,3600.0,3600.0,3600.0,True,0.8281988914775985,F13,G2
S002-HYG-01,M004,S002,2981.5160093193545,10800.0,,,True,0.2760662971591995,F13,G2
S002-FOD-02,M004,S002,2981.5160093193545,7200.0,,,True,0.41409944573879925,F13,G2
S002-WAT-03,M004,S002,2981.5160093193545,3600.0,,,True,0.8281988914775985,F13,G2
S002-WAT-04,M004,S002,2981.5160093193545,3600.0,,,True,0.8281988914775985,F13,G2
S002-WAT-01,M004,S002,2981.5160093193545,3600.0,3600.0,3600.0,True,0.8281988914775985,F13,G2
S003-MED-01,M005,S003,5140.844882471274,7200.0,7200.0,7200.0,True,0.7140062336765658,F13,G2
S003-FOD-01,M005,S003,5140.844882471274,10800.0,,,True,0.4760041557843772,F13,G2
S003-WAT-01,M005,S003,5140.844882471274,7200.0,7200.0,7200.0,True,0.7140062336765658,F13,G2
S004-MED-01,M006,S004,5475.500533296581,7200.0,7200.0,7200.0,True,0.7604861851800807,F13,G2
S004-HYG-01,M006,S004,5475.500533296581,14400.0,,,True,0.38024309259004035,F13,G2
S004-FOD-01,M006,S004,5475.500533296581,10800.0,,,True,0.5069907901200538,F13,G2
S004-WAT-02,M006,S004,5475.500533296581,7200.0,,,True,0.7604861851800807,F13,G2
