atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
P0002_M001_G00,P0002_M001_G00,DEVFIX,M001,2061.2977675969823,2917.3290175969823,856.03125,0.0,2.0
P0002_M002_G00,P0002_M002_G00,DEVFIX,M002,3948.911293932906,4472.817543932906,523.90625,0.0,2.0
P0002_M003_G00,P0002_M003_G00,DEVFIX,M003,6511.23318109501,7355.70193109501,844.46875,0.0,2.0
P0002_M004_G00,P0002_M004_G00,DEVFIX,M004,830.5625,1763.15625,932.59375,0.0,2.0
P0002_M005_G00,P0002_M005_G00,DEVFIX,M005,6668.131203530093,7570.724953530093,902.59375,0.0,2.0
P0002_M007_G00,P0002_M007_G00,DEVFIX,M007,4140.750669379437,4772.125669379437,631.375,0.0,2.0
P0002_M008_G00,P0002_M008_G00,DEVFIX,M008,6668.131203530093,7200.318703530093,532.1875,0.0,2.0
P0002_M009_G00,P0002_M009_G00,DEVFIX,M009,830.5625,1271.09375,440.53125,0.0,2.0
P0002_M011_G00,P0002_M011_G00,DEVFIX,M011,8843.111318546706,9212.111318546706,369.0,0.0,2.0
P0002_M013_G00,P0002_M013_G00,DEVFIX,M013,8843.111318546706,9451.892568546706,608.78125,0.0,2.0
P0002_M015_G00,P0002_M015_G00,DEVFIX,M015,2011.7040175969823,2812.7040175969823,801.0,0.0,2.0
P0002_M016_G00,P0002_M016_G00,DEVFIX,M016,4095.67228723569,4121.01603723569,25.34375,0.0,2.0
P0002_M016_G01,P0002_M016_G01,DEVFIX,M016,4128.51603723569,4747.76603723569,619.25,0.0,2.0
P0002_M016_G02,P0002_M016_G02,DEVFIX,M016,4755.29728723569,4780.64103723569,25.34375,0.0,2.0
P0002_M018_G00,P0002_M018_G00,DEVFIX,M018,2153.8290175969823,2792.6102675969823,638.78125,0.0,2.0
P0002_M019_G00,P0002_M019_G00,DEVFIX,M019,3304.704838663181,3704.392338663181,399.6875,0.0,2.0
P0002_M021_G00,P0002_M021_G00,DEVFIX,M021,2011.7040175969823,2917.3290175969823,905.625,0.0,2.0
P0002_M023_G00,P0002_M023_G00,DEVFIX,M023,3946.2198245670656,4765.469824567066,819.25,0.0,2.0
P0002_M024_G00,P0002_M024_G00,DEVFIX,M024,6668.131203530093,7457.381203530093,789.25,0.0,2.0
P0002_M025_G00,P0002_M025_G00,DEVFIX,M025,6668.131203530093,7067.818703530093,399.6875,0.0,2.0
P0002_M026_G00,P0002_M026_G00,DEVFIX,M026,4070.2782857579305,5079.1220357579305,1008.84375,0.0,2.0
P0002_M027_G00,P0002_M027_G00,DEVFIX,M027,4024.750669379437,4850.781919379437,826.03125,0.0,2.0
P0002_M028_G00,P0002_M028_G00,DEVFIX,M028,2440.471890486567,2857.940640486567,417.46875,0.0,2.0
P0002_M029_G00,P0002_M029_G00,DEVFIX,M029,2472.326986714428,2871.326986714428,399.0,0.0,2.0
