from_id,to_id,horizontal_distance_m,max_dem_elevation_m,planned_cruise_altitude_m,origin_operation_altitude_m,destination_operation_altitude_m,climb_height_m,descent_height_m,frozen_max_dem_elevation_m,delta_max_dem_m,crossed_cells
O01,S001,3053.9887026420406,223.05661010742188,273.0566101074219,127.7,184.0,145.3566101074219,89.05661010742188,223.05661010742188,0.0,136
O01,S002,7411.307708760039,258.9542541503906,308.9542541503906,127.7,219.5,181.25425415039064,89.45425415039062,258.9542541503906,0.0,323
O01,S003,7263.327717049588,511.80413818359375,561.8041381835938,127.7,338.5,434.10413818359376,223.30413818359375,501.4280090332031,10.376129150390625,338
O01,S004,7714.729254941889,348.2391662597656,398.2391662597656,127.7,228.3,270.53916625976564,169.9391662597656,348.2391662597656,0.0,276
O01,S005,5280.641689396252,276.410888671875,326.410888671875,127.7,195.0,198.710888671875,131.410888671875,276.410888671875,0.0,181
O01,S006,3186.250613253772,316.09783935546875,366.09783935546875,127.7,314.8,238.39783935546876,51.29783935546874,316.09783935546875,0.0,116
O01,S007,4534.527995612143,461.9731750488281,511.9731750488281,127.7,348.5,384.27317504882814,163.47317504882812,451.8304748535156,10.1427001953125,213
O01,S008,8079.114648723534,322.9093322753906,372.9093322753906,127.7,270.9,245.20933227539064,102.00933227539065,322.9093322753906,0.0,321
O01,S009,5705.148819569393,243.22891235351562,293.2289123535156,127.7,230.0,165.52891235351564,63.228912353515625,243.2289123535156,2.842170943040401e-14,253
O01,S010,4784.474876257699,385.63653564453125,435.63653564453125,127.7,351.6,307.93653564453126,84.03653564453123,385.6365356445313,-5.684341886080802e-14,203
O01,S011,2808.0980667549748,245.36175537109375,295.36175537109375,127.7,212.1,167.66175537109376,83.26175537109376,243.3490295410156,2.0127258300781534,123
O01,S012,7390.448226172106,363.3009948730469,413.3009948730469,127.7,279.8,285.6009948730469,133.50099487304686,362.35931396484375,0.941680908203125,354
O01,S013,4849.227041161927,349.18182373046875,399.18182373046875,127.7,351.7,271.48182373046876,47.48182373046876,347.3786926269531,1.803131103515625,228
O01,S014,5419.570194994184,541.9473876953125,591.9473876953125,127.7,351.0,464.2473876953125,240.9473876953125,541.9473876953125,0.0,203
O01,S015,6009.472571071346,521.7992553710938,571.7992553710938,127.7,474.5,444.09925537109376,97.29925537109375,520.8697509765625,0.92950439453125,286
S001,O01,3053.9887026420406,223.05661010742188,273.0566101074219,184.0,127.7,89.05661010742188,145.3566101074219,223.05661010742188,0.0,136
S001,S002,4360.583296158719,259.2448425292969,309.2448425292969,184.0,219.5,125.24484252929688,89.74484252929688,259.2448425292969,0.0,188
S001,S003,7658.877073356811,505.94439697265625,555.9443969726562,184.0,338.5,371.94439697265625,217.44439697265625,505.94439697265625,0.0,293
S001,S004,4927.685077091213,358.7777404785156,408.7777404785156,184.0,228.3,224.77774047851562,180.4777404785156,358.7777404785156,0.0,179
S001,S005,2928.051014415856,266.13800048828125,316.13800048828125,184.0,195.0,132.13800048828125,121.13800048828125,266.13800048828125,0.0,136
S001,S006,5296.222882741876,343.9356384277344,393.9356384277344,184.0,314.8,209.93563842773438,79.13563842773436,343.9356384277344,0.0,251
S001,S007,5187.945163243503,389.17535400390625,439.17535400390625,184.0,348.5,255.17535400390625,90.67535400390625,389.1753540039063,-5.684341886080802e-14,198
S001,S008,5968.2512058128505,316.78717041015625,366.78717041015625,184.0,270.9,182.78717041015625,95.88717041015627,315.542236328125,1.24493408203125,276
S001,S009,2651.1928824887373,243.22891235351562,293.2289123535156,184.0,230.0,109.22891235351562,63.228912353515625,243.2289123535156,2.842170943040401e-14,118
S001,S010,3709.867982766049,381.0796813964844,431.0796813964844,184.0,351.6,247.07968139648438,79.47968139648435,381.0796813964844,0.0,170
S001,S011,2354.1055732574746,226.38790893554688,276.3879089355469,184.0,212.1,92.38790893554688,64.28790893554688,226.38790893554688,0.0,90
S001,S012,4697.642373124702,385.599609375,435.599609375,184.0,279.8,251.599609375,155.799609375,385.599609375,0.0,219
S001,S013,2898.808210595373,328.3608093261719,378.3608093261719,184.0,351.7,194.36080932617188,26.660809326171886,328.3608093261719,0.0,111
S001,S014,5196.165768976583,550.0504150390625,600.0504150390625,184.0,351.0,416.0504150390625,249.0504150390625,542.6727294921875,7.377685546875,248
S001,S015,5500.145051309657,547.315185546875,597.315185546875,184.0,474.5,413.315185546875,122.815185546875,547.315185546875,0.0,241
S002,O01,7411.307708760039,258.9542541503906,308.9542541503906,219.5,127.7,89.45425415039062,181.25425415039064,258.9542541503906,0.0,323
S002,S001,4360.583296158719,259.2448425292969,309.2448425292969,219.5,184.0,89.74484252929688,125.24484252929688,259.2448425292969,0.0,188
S002,S003,9776.142449755573,571.1314086914062,621.1314086914062,219.5,338.5,401.63140869140625,282.63140869140625,571.1314086914062,0.0,432
S002,S004,2248.012645138924,283.658203125,333.658203125,219.5,228.3,114.158203125,105.35820312499999,283.658203125,0.0,102
S002,S005,3475.747222123636,356.79864501953125,406.79864501953125,219.5,195.0,187.29864501953125,211.79864501953125,356.79864501953125,0.0,161
S002,S006,9184.93169340433,344.2987060546875,394.2987060546875,219.5,314.8,174.7987060546875,79.49870605468749,342.2972106933594,2.001495361328125,438
