tag,source,pareto_id,J_late,J_norm,makespan,energy,sorties,solution_id,global_optimum_proven
P01,stage1_best,P01,28569.79538945284,0.5270079634662485,10250.303430472715,73.47077585529216,28,P01,
P02,epsilon,P02,27140.240272980776,0.5257111204986747,10326.937059944303,73.3497269965582,28,P02,
P03,epsilon,P03,27140.240272980776,0.5240409478982372,10326.937059944303,73.36713146611822,28,P03,
,run01,,0.0,0.4966504793854576,6489.127319553667,66.20353151380726,24,XB01,False
,run02,,0.0,0.5652688886502517,9256.714988673739,60.926949558171714,21,XB02,False
