atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,candidate_count,source,candidate_set_complete,generation_mode
P02_G011_E52_A000,P02_G011,P02,M013,743.855314875907,1294.9711443375293,551.1158294616223,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G012_E52_A000,P02_G012,P02,M014,5914.316932530872,5939.259987389667,24.94305485879522,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G013_E52_A000,P02_G013,P02,M014,5947.227447308978,6358.32155332256,411.09410601358195,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G014_E52_A000,P02_G014,P02,M014,6366.289013241872,6391.232068100667,24.943054858794312,3,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G015_E52_A000,P02_G015,P02,M017,2984.7251051508374,3889.383813177553,904.6587080267154,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P02_G016_E52_A000,P02_G016,P02,M019,5121.593339776678,6121.514573210624,999.9212334339463,1,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G017_E52_A000,P02_G017,P02,M020,2500.56368944498,2925.5285106228607,424.9648211778808,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G018_E52_A000,P02_G018,P02,M021,5313.624044076422,6085.182395741032,771.5583516646102,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
P02_G019_E52_A000,P02_G019,P02,M022,7353.713579944701,7378.656634803497,24.94305485879522,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G020_E52_A000,P02_G020,P02,M022,7386.624094722808,7933.620015515035,546.9959207922275,1,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G021_E52_A000,P02_G021,P02,M022,7941.587475434347,7966.530530293142,24.94305485879522,2,E5_REVALIDATED,False,LAZY_FEASIBILITY_FIRST
P02_G022_E52_A000,P02_G022,P02,M023,7431.603522964426,7788.218134216519,356.6146112520928,1,E52_EXISTING_SITE,False,LAZY_FEASIBILITY_FIRST
