uav_type,service_id,payload_limit_kg,binding_constraint,roundtrip_energy_kwh,energy_margin_kwh,return_soc
A,S001,25.0,mass,1.3126961049072723,2.2873038950927276,0.7082897544650506
A,S002,25.0,mass,3.0904181549535057,0.5095818450464944,0.3132404100103321
A,S003,25.0,mass,3.1568158522602117,0.4431841477397884,0.29848536616439736
A,S004,25.0,mass,3.266710815706025,0.3332891842939749,0.27406426317643884
A,S005,25.0,mass,2.244884581101708,1.3551154188982921,0.501136759755176
A,S006,25.0,mass,1.389703563652124,2.210296436347876,0.6911769858550836
A,S007,25.0,mass,2.017895792464923,1.5821042075350773,0.5515787127855727
A,S008,25.0,mass,3.3871921605992137,0.2128078394007864,0.24729063097795256
A,S009,25.0,mass,2.386826189064769,1.2131738109352312,0.46959418020782917
A,S010,25.0,mass,2.070648912866985,1.5293510871330152,0.53985579714067
A,S011,25.0,mass,1.219592732890757,2.380407267109243,0.7289793926909429
A,S012,25.0,mass,3.131140320894202,0.46885967910579796,0.30419103980128837
A,S013,25.0,mass,2.0740896215792444,1.5259103784207557,0.5390911952046124
A,S014,25.0,mass,2.425600957984785,1.174399042015215,0.46097756489227004
A,S015,25.0,mass,2.6192258775659223,0.9807741224340778,0.4179498049853506
B,S001,30.0,mass,1.2739272592195,1.9260727407805003,0.6815181851951251
B,S002,30.0,mass,2.998731484757008,0.20126851524299205,0.25031712881074797
B,S003,30.0,mass,3.0643940237739073,0.13560597622609283,0.23390149405652316
B,S004,30.0,mass,3.1698171959520103,0.030182804047989897,0.20754570101199743
B,S005,30.0,mass,2.1782765840940703,1.0217234159059299,0.4554308539764824
B,S006,30.0,mass,1.3500429687676934,1.8499570312323068,0.6624892578080767
B,S007,30.0,mass,1.959741220407135,1.2402587795928652,0.5100646948982163
B,S008,28.801337076453475,energy,3.2000000000009994,-9.992007221626409e-13,0.19999999999975016
B,S009,30.0,mass,2.316353271218972,0.8836467287810281,0.420911682195257
B,S010,30.0,mass,2.0109619862815107,1.1890380137184895,0.49725950342962233
B,S011,30.0,mass,1.183919324197343,2.016080675802657,0.7040201689506642
B,S012,30.0,mass,3.0388737056611634,0.16112629433883674,0.24028157358470914
B,S013,30.0,mass,2.0143079296346444,1.1856920703653557,0.4964230175913389
B,S014,30.0,mass,2.3552338537164266,0.8447661462835736,0.41119153657089336
B,S015,30.0,mass,2.5444130861278484,0.6555869138721517,0.3638967284680379
C,S001,80.0,mass,3.0816703507901266,3.3183296492098737,0.6147912061512342
C,S002,68.86098871616731,energy,6.400000000000997,-9.965361869035405e-13,0.1999999999998754
C,S003,68.20606654024779,energy,6.4000000000010004,-1.000088900582341e-12,0.19999999999987494
C,S004,63.697579124274526,energy,6.400000000001,-9.992007221626409e-13,0.19999999999987506
C,S005,80.0,mass,5.292689896279932,1.107310103720068,0.33841376296500847
C,S006,80.0,mass,3.2533222222606155,3.146677777739385,0.593334722217423
C,S007,80.0,mass,4.679425646924123,1.720574353075877,0.4150717941344846
C,S008,58.904101507183384,energy,6.4000000000010004,-1.000088900582341e-12,0.19999999999987494
C,S009,80.0,mass,5.669462006564059,0.7305379934359415,0.29131724917949264
C,S010,80.0,mass,4.858662415328933,1.5413375846710675,0.3926671980838834
C,S011,80.0,mass,2.853202139268909,3.5467978607310915,0.6433497325913864
C,S012,68.11873147662503,energy,6.4000000000010004,-1.000088900582341e-12,0.19999999999987494
C,S013,80.0,mass,4.891412161486293,1.5085878385137077,0.3885734798142134
C,S014,80.0,mass,5.607619686836495,0.7923803131635054,0.29904753914543813
C,S015,80.0,mass,6.13298019198351,0.2670198080164905,0.23337747600206127
