atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA06_M001_00_A00,P01_GAMMA06_M001_00,P01,M001,747.71875,1002.0625,254.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A01,P01_GAMMA06_M001_00,P01,M001,1002.0625,1256.40625,254.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A02,P01_GAMMA06_M001_00,P01,M001,1256.40625,1510.75,254.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A03,P01_GAMMA06_M001_00,P01,M001,1510.75,1765.09375,254.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M001_00_A04,P01_GAMMA06_M001_00,P01,M001,1765.09375,2019.4375,254.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_00_A00,P01_GAMMA06_M002_00,P01,M002,631.6875,829.328125,197.640625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_00_A01,P01_GAMMA06_M002_00,P01,M002,829.328125,1026.96875,197.640625,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_01_A00,P01_GAMMA06_M002_01,P01,M002,1039.6875,1047.375,7.6875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_02_A00,P01_GAMMA06_M002_02,P01,M002,1131.59375,1146.3125,14.71875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_03_A00,P01_GAMMA06_M002_03,P01,M002,1169.03125,1231.90625,62.875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A00,P01_GAMMA06_M002_04,P01,M002,1245.9375,1453.28125,207.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A01,P01_GAMMA06_M002_04,P01,M002,1453.28125,1660.625,207.34375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
