relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_010_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_010_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_010_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_010_R006,5860.069380484962,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_010_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_010_R004,3603.792075534593,5560.069380484962,5860.069380484962,300.0
R02,Q3E8_G04_010_R007,7031.171481879753,10738.784404516155,11038.784404516155,300.0
R02,Q3E8_G04_010_R009,11038.784404516155,12556.67103064116,12856.67103064116,300.0
R01,Q3E8_G04_010_R008,9496.865091952082,10822.584029985246,11122.584029985246,300.0
R01,Q3E8_G04_010_R010,11122.584029985244,13234.36133493562,13534.36133493562,300.0
