energy_component_id,relay_sortie_id,takeoff_s,return_s,soc_at_takeoff,return_soc,charge_start_s,charge_end_s,charge_duration_s
REC-01,Q3E8_G04_010_R001,197.71163788581964,3034.7968430624833,1.0,0.7370524090483115,3034.7968430624833,3876.6287112996783,841.8318682371951
REC-02,Q3E8_G04_010_R002,327.97966974075575,2019.5820632507807,1.0,0.8510403931942763,2019.5820632507807,2713.2295520982216,693.6474888474409
REC-03,Q3E8_G04_010_R003,2499.5820632507807,4184.852936843234,1.0,0.8546310186465086,4184.852936843234,4873.832612602772,688.9796757595387
REC-06,Q3E8_G04_010_R006,6040.069380484962,7985.9174338057965,1.0,0.825492251676848,7985.9174338057965,8712.777506625895,726.8600728200976
REC-05,Q3E8_G04_010_R005,4664.852936843234,6725.82699268667,1.0,0.8084667140956809,6725.82699268667,7474.820264362284,748.9932716756148
REC-04,Q3E8_G04_010_R004,3783.792075534593,5560.069380484962,1.0,0.8412296190295853,5560.069380484962,6266.4708757465005,706.4014952615391
REC-02,Q3E8_G04_010_R007,7211.171481879753,10738.784404516155,1.0,0.6722724386613522,10738.784404516155,11664.830234256397,926.0458297402421
REC-03,Q3E8_G04_010_R009,11218.784404516155,12556.67103064116,1.0,0.8831536689663219,12556.67103064116,13208.571260984942,651.9002303437816
REC-01,Q3E8_G04_010_R008,9676.865091952082,10822.584029985246,1.0,0.9012035394432565,10822.584029985246,11445.00173149273,622.417701507484
REC-04,Q3E8_G04_010_R010,11302.584029985244,13234.36133493562,1.0,0.8263815287518068,13234.36133493562,13960.065347558271,725.7040126226511
