partition_id,k,labels,groups,total_resource_units,total_shortage_units,inventory_feasible,workload_cv,required_TUAV_A,required_TUAV_B,required_TUAV_C,required_TBAT_A,required_TBAT_B,required_TBAT_C,required_RUAV,required_REC,shortage_TUAV_A,shortage_TUAV_B,shortage_TUAV_C,shortage_TBAT_A,shortage_TBAT_B,shortage_TBAT_C,shortage_RUAV,shortage_REC,redundancy_TUAV_A,redundancy_TUAV_B,redundancy_TUAV_C,redundancy_TBAT_A,redundancy_TBAT_B,redundancy_TBAT_C,redundancy_RUAV,redundancy_REC
F13_Q4_K3_001,3,"[0, 0, 1, 2]","[[""S001"", ""S002"", ""S004"", ""S008"", ""S010"", ""S012"", ""S013"", ""S014""], [""S003"", ""S005"", ""S007"", ""S009"", ""S011"", ""S015""], [""S006""]]",43,16,False,0.5120689164033169,8,4,3,10,7,5,3,3,4,2,1,4,3,1,1,0,4,2,1,4,3,1,1,0
F13_Q4_K3_003,3,"[0, 1, 1, 2]","[[""S001""], [""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014"", ""S015""], [""S006""]]",37,10,False,1.095585890225235,7,2,4,9,4,6,2,3,3,0,2,3,0,2,0,0,3,0,2,3,0,2,0,0
F13_Q4_K3_004,3,"[0, 1, 2, 0]","[[""S001"", ""S006""], [""S002"", ""S004"", ""S008"", ""S010"", ""S012"", ""S013"", ""S014""], [""S003"", ""S005"", ""S007"", ""S009"", ""S011"", ""S015""]]",46,19,False,0.38839430371487965,8,4,5,10,7,6,3,3,4,2,3,4,3,2,1,0,4,2,3,4,3,2,1,0
F13_Q4_K3_006,3,"[0, 1, 2, 2]","[[""S001""], [""S002"", ""S004"", ""S008"", ""S010"", ""S012"", ""S013"", ""S014""], [""S003"", ""S005"", ""S006"", ""S007"", ""S009"", ""S011"", ""S015""]]",40,13,False,0.6008677802082832,5,4,5,7,7,6,3,3,1,2,3,1,3,2,1,0,1,2,3,1,3,2,1,0
