sortie_id,shift_s
M001,1692.1703928789648
M002,-2107.8120286387084
M003,-0.0
M004,-0.0
M005,2047.7721493488189
M006,613.6416177597433
M007,441.2032829467753
M008,1764.2595932721633
M009,2023.7303454754574
M010,1377.7087453238637
M011,-562.9825046705372
M012,-0.0
M013,-0.0
M014,562.9824866705372
M015,-0.0
M016,-0.0
M017,1212.2281537497238
M018,-1252.1263234973003
M019,-8.999999974752426e-06
M020,-8.999999974752426e-06
M021,-250.21102412002074
M022,-8.999999974752426e-06
M023,-0.0
M024,-8.999999974752426e-06
M025,464.07553729212395
