atomic_task_id,site_id,min_access_margin_db,backhaul_margin_db
A11_M003_G00,E52_214ce9a3b3bd3fa9c582335a,0.14955749359387482,15.138353346483314
A11_M004_G00,E52_214ce9a3b3bd3fa9c582335a,0.14955749359387482,15.138353346483314
A11_M015_G00,E52_214ce9a3b3bd3fa9c582335a,9.466834534918547,15.138353346483314
A11_M016_G00,E52_214ce9a3b3bd3fa9c582335a,9.466834534918547,15.138353346483314
A11_M023_G00,E52_214ce9a3b3bd3fa9c582335a,0.3126060525719936,15.138353346483314
A11_M019_G00,E52_beb70ec57fd2d66bf65b827f,13.002557010438537,2.43785423226241
A11_M020_G00,E52_beb70ec57fd2d66bf65b827f,13.002557010438537,2.43785423226241
A11_M022_G00,E52_beb70ec57fd2d66bf65b827f,1.6281698264162543,2.43785423226241
A11_M024_G00,E52_beb70ec57fd2d66bf65b827f,17.38358245881338,2.43785423226241
A11_M006_G00,E52_47db2d0d55c92154c779a4c9,3.0205906267075733,16.45726286038159
A11_M014_G00,E52_47db2d0d55c92154c779a4c9,11.176286595238821,16.45726286038159
A11_M005_G00,E52_82c821a5773d0bfbe554f10a,3.9055423871373875,11.397135806608844
A11_M008_G00,E52_82c821a5773d0bfbe554f10a,8.083338048554566,11.397135806608844
A11_M008_G01,E52_82c821a5773d0bfbe554f10a,8.226809702901718,11.397135806608844
A11_M008_G02,E52_82c821a5773d0bfbe554f10a,8.083077875508948,11.397135806608844
A11_M009_G00,E52_82c821a5773d0bfbe554f10a,8.076615513440018,11.397135806608844
A11_M009_G01,E52_82c821a5773d0bfbe554f10a,8.226809702901718,11.397135806608844
A11_M009_G02,E52_82c821a5773d0bfbe554f10a,8.076450462346799,11.397135806608844
A11_M010_G00,E52_82c821a5773d0bfbe554f10a,8.083338048554566,11.397135806608844
A11_M010_G01,E52_82c821a5773d0bfbe554f10a,8.226809702901718,11.397135806608844
A11_M010_G02,E52_82c821a5773d0bfbe554f10a,8.083077875508948,11.397135806608844
A11_M017_G00,E52_82c821a5773d0bfbe554f10a,5.523919136465679,11.397135806608844
A11_M025_G00,E52_82c821a5773d0bfbe554f10a,11.240343925362424,11.397135806608844
A11_M007_G00,E52_30110e5b3ae38ecfab28ace2,5.268987734543231,10.05954008012911
A11_M018_G00,E52_44ed69e1d99dc074a7941a18,4.524182138291295,8.900383690419545
