relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_002_R001,0.0,3017.0852051766633,3317.0852051766633,300.0
R02,Q3E8_G04_002_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_002_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_002_R006,5597.512578451881,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_002_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_002_R004,3317.0852051766633,5297.512578451881,5597.512578451881,300.0
R02,Q3E8_G04_002_R007,7025.82699268667,11020.201072210974,11320.201072210974,300.0
R02,Q3E8_G04_002_R010,11320.201072210974,12838.08769833598,13138.08769833598,300.0
R01,Q3E8_G04_002_R008,8285.917433805796,9611.63637183896,9911.63637183896,300.0
R01,Q3E8_G04_002_R009,9911.636371838958,12023.413676789327,12323.413676789327,300.0
