atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
AN01_M003_G00,AN01_M003_G00,AN01,M003,747.8125,1603.84375,856.03125,0.0,2.0
AN01_M004_G00,AN01_M004_G00,AN01,M004,814.03125,1755.65625,941.625,0.0,2.0
AN01_M005_G00,AN01_M005_G00,AN01,M005,765.0,1586.625,821.625,0.0,2.0
AN01_M006_G00,AN01_M006_G00,AN01,M006,913.9375,1958.78125,1044.84375,0.0,2.0
AN01_M007_G00,AN01_M007_G00,AN01,M007,954.78125,1799.25,844.46875,0.0,2.0
AN01_M008_G00,AN01_M008_G00,AN01,M008,692.9375,718.28125,25.34375,0.0,2.0
AN01_M008_G01,AN01_M008_G01,AN01,M008,725.78125,1137.125,411.34375,0.0,2.0
AN01_M008_G02,AN01_M008_G02,AN01,M008,1144.65625,1170.0,25.34375,0.0,2.0
AN01_M009_G00,AN01_M009_G00,AN01,M009,692.9375,718.28125,25.34375,0.0,2.0
AN01_M009_G01,AN01_M009_G01,AN01,M009,725.78125,1137.125,411.34375,0.0,2.0
AN01_M009_G02,AN01_M009_G02,AN01,M009,1144.65625,1170.0,25.34375,0.0,2.0
AN01_M010_G00,AN01_M010_G00,AN01,M010,760.125,790.78125,30.65625,0.0,2.0
AN01_M010_G01,AN01_M010_G01,AN01,M010,801.1875,1237.78125,436.59375,0.0,2.0
AN01_M010_G02,AN01_M010_G02,AN01,M010,1248.15625,1278.84375,30.6875,0.0,2.0
AN01_M014_G00,AN01_M014_G00,AN01,M014,786.0625,1185.75,399.6875,0.0,2.0
AN01_M015_G00,AN01_M015_G00,AN01,M015,816.0625,1245.75,429.6875,0.0,2.0
AN01_M016_G00,AN01_M016_G00,AN01,M016,816.0625,1245.75,429.6875,0.0,2.0
AN01_M017_G00,AN01_M017_G00,AN01,M017,834.46875,1790.71875,956.25,0.0,2.0
AN01_M018_G00,AN01_M018_G00,AN01,M018,706.75,1230.65625,523.90625,0.0,2.0
AN01_M019_G00,AN01_M019_G00,AN01,M019,759.4375,1144.875,385.4375,0.0,2.0
AN01_M020_G00,AN01_M020_G00,AN01,M020,789.4375,1204.875,415.4375,0.0,2.0
AN01_M022_G00,AN01_M022_G00,AN01,M022,746.34375,1547.34375,801.0,0.0,2.0
AN01_M023_G00,AN01_M023_G00,AN01,M023,741.6875,1140.6875,399.0,0.0,2.0
AN01_M024_G00,AN01_M024_G00,AN01,M024,804.8125,1423.96875,619.15625,0.0,2.0
AN01_M025_G00,AN01_M025_G00,AN01,M025,798.25,1390.4375,592.1875,0.0,2.0
