sortie_id,battery_id,takeoff_s,return_s,return_soc,charge_duration_s,energy_ready_s
M018,BAT-A-04,360.0,2003.7375242139126,0.32918662148352795,1372.0573920714135,3375.794916285326
M015,BAT-C-01,480.0,1494.170391878965,0.6255321544315746,1644.6803320649215,3138.8507239438864
M014,BAT-C-02,570.0,1692.170391878965,0.6353055079653442,1623.5047327417542,3315.675124620719
M009,BAT-A-01,360.0,1313.485266596983,0.7085441999392076,878.8925400790301,2192.3778066760133
M017,BAT-A-02,360.0,1654.8593983215956,0.5794613551551151,1046.7002382983503,2701.559636619946
M006,BAT-B-01,390.0,1510.4702802929446,0.5438204341741839,1457.3779140980812,2967.8481943910256
M025,BAT-C-04,2172.170391878957,3993.2314584721203,0.23088787400035304,2499.7429396659018,6492.974398138022
M010,BAT-B-02,390.0,1922.734555970083,0.31191138952446495,1859.3535914909273,3782.0881474610105
M002,BAT-A-06,2363.7375242139096,3731.172846887548,0.5939038617900676,1027.924979672912,4759.09782656046
M024,BAT-A-03,4015.0449032169126,5917.698925394448,0.31476007122585303,1390.8119074063911,7308.510832800839
M001,BAT-A-01,2701.5596366199316,3655.0449032169145,0.6984373007190467,892.0315090652392,4547.076412282154
M012,BAT-B-03,5610.376731481461,6408.800381593062,0.7315165686977672,1132.037947590537,7540.8383291836
M022,BAT-A-04,4091.1728468875517,5423.369098505677,0.5285988724357911,1112.8214658334716,6536.190564339149
M013,BAT-A-01,4570.762519597163,5902.958771215289,0.5126740814551964,1133.5236941082449,7036.482465323534
M016,BAT-C-01,4051.9824105176667,5801.694495109841,0.2704970459512557,2413.923067105613,8215.617562215455
M003,BAT-B-04,2282.7345559700916,3130.0114687919486,0.7154664089004564,1159.8582245725422,4289.869693364491
M005,BAT-B-04,5036.186330763538,6204.628578157946,0.4759473657320945,1575.0245660643693,7779.653144222316
M007,BAT-C-02,4473.23145847211,6429.34260280919,0.2628610718370119,2430.4676776864744,8859.810280495665
M019,BAT-C-03,1974.1703918789572,3601.9824105176654,0.26837108934177256,2418.5293064261596,6020.511716943825
M011,BAT-B-01,3490.011468791956,4646.186330763539,0.5413734475155271,1461.619357639753,6107.805688403292
M004,BAT-A-03,360.0,1727.4353226736384,0.5620247582009279,1069.3678143387936,2796.8031370124318
M020,BAT-A-02,2796.803137012437,4061.662535334033,0.57304103759146,1055.046651131102,5116.709186465135
M023,BAT-B-03,1900.4702802929387,3380.222474911955,0.4649242488096277,1594.131302063312,4974.3537769752675
M008,BAT-A-05,2192.377806676028,3529.8131293496663,0.5838850844250048,1040.9493902474937,4570.76251959716
M021,BAT-B-02,3782.088147461007,5220.376731481457,0.4231438038602314,1666.5507399755988,6886.927471457056
