kind,task_id,block,start_s,end_s,source_resource_id,resource_id,group_id
TUAV_A,M013,3,0.0,1313.485266596983,U01,G1-TUAV_A-01,G1
TUAV_A,M020,4,1313.485267596983,2968.344665918579,U01,G1-TUAV_A-01,G1
TUAV_A,M019,4,1727.4353236736385,3322.2947219952343,U02,G1-TUAV_A-02,G1
TUAV_A,M011,3,1832.3778076760132,3145.863074272996,U03,G1-TUAV_A-03,G1
TUAV_B,M012,3,0.0,1207.276912821857,U05,G1-TUAV_B-01,G1
TUAV_B,M022,4,1207.276913821857,3130.0114697919403,U05,G1-TUAV_B-01,G1
TUAV_B,M024,4,1510.4702812929447,3380.2224759119613,U06,G1-TUAV_B-02,G1
TUAV_B,M021,5,3130.01147079194,4318.435120903541,U05,G1-TUAV_B-01,G1
TUAV_C,M002,0,0.0,1692.170391878965,U07,G1-TUAV_C-01,G1
TUAV_C,M001,0,1692.1703928789648,3186.3407847579297,U07,G1-TUAV_C-01,G1
TUAV_C,M007,2,4543.9231649757885,6844.984231568952,U08,G1-TUAV_C-01,G1
TBAT_A,M013,3,360.0,2192.3778066760133,BAT-A-01,G1-TBAT_A-01,G1
TBAT_A,M020,4,1673.485267596983,4015.0449042169294,BAT-A-05,G1-TBAT_A-02,G1
TBAT_A,M019,4,2057.4353236736383,4377.341373126336,BAT-A-06,G1-TBAT_A-03,G1
TBAT_A,M011,3,2192.377807676013,4037.8945833382354,BAT-A-01,G1-TBAT_A-01,G1
TBAT_B,M012,3,360.0,2367.135137394399,BAT-B-01,G1-TBAT_B-01,G1
TBAT_B,M022,4,1597.276913821857,4989.365061282868,BAT-B-03,G1-TBAT_B-02,G1
TBAT_B,M024,4,1900.4702812929447,4974.353777975273,BAT-B-04,G1-TBAT_B-03,G1
TBAT_B,M021,5,3520.01147079194,5450.473068494079,BAT-B-01,G1-TBAT_B-01,G1
TBAT_C,M002,0,570.0,3336.8507239438864,BAT-C-02,G1-TBAT_C-01,G1
TBAT_C,M001,0,2172.170392878965,4809.845517499683,BAT-C-03,G1-TBAT_C-02,G1
TBAT_C,M007,2,5023.9231649757885,9344.727171234854,BAT-C-01,G1-TBAT_C-01,G1
