stage,status,J_late,J_norm,joint_makespan_s,total_energy_kwh,relay_sorties,total_transport_shift_s,runtime_s,J_late_reduction_pct
E6 baseline,VALIDATED,648615.6046791939,0.7465689469852502,13895.966266389649,79.68195536789587,12.0,42380.95217125507,,0.0
Official objective / fixed E6 relay order,SAME_E6_TIMES_GROUPS_METRICS_RESOURCE_LABELS_MAY_DIFFER,648615.6046791939,0.7465689469852502,13895.966266389649,79.68195536789587,12.0,42380.95217125507,0.102381837,0.0
Free transport resources / fixed E6 relay structure,VALIDATED,622234.8494885263,0.6954588048201085,13895.966266389649,79.56960078512903,12.0,37711.50297183192,0.838743127,4.067240288447193
Fixed transport order / joint relay search,VALIDATED,405559.11434717337,0.6916645261174746,13254.144390485522,79.5231748587036,9.0,45901.0021675391,15.71073151500002,37.4731179112221
L1 joint / best TimelinessKey,VALIDATED,87005.08617038542,0.5584702306702156,12044.374836661798,78.82216122535954,9.0,20290.58039817506,,86.58603253718846
L1 joint / 2% budget minimum energy,VALIDATED,88500.64039124498,0.5676017601957704,11304.755579720844,78.31961281052705,9.0,18927.001297804516,,86.3554561819373
L2 equivalent mission,NOT_ACTIVATED_L1_ALREADY_MATERIALLY_IMPROVES_OFFICIAL_METRICS,,,,,,,,
L3 local regroup,NOT_ACTIVATED_L1_ALREADY_MATERIALLY_IMPROVES_OFFICIAL_METRICS,,,,,,,,
