solution,samples,boundary_refinements,min_twohop_db,min_relay_energy_kwh,R01_utilization,R02_utilization,max_component_utilization,runtime_s
Q3E7_001,74942,483,0.6230836731091074,1.1038571791485101,0.9066583120081028,0.924876576423125,0.4848487971295157,33.10070912000003
Q3E7_002,74942,483,0.6230836731091074,1.1038571791485101,0.950346905052036,0.9694430419019691,0.5082119114418043,33.461710141000026
Q3E7_003,74943,483,0.6230836731091074,1.1038571791485101,0.9682086410709277,0.9348798757501356,0.5082119114418043,33.26800034199999
Q3E7_004,74945,483,0.6230836731091074,1.1091439465373356,0.9666797494448592,0.9348798757501356,0.5065018620840009,33.451786562999985
Q3E7_005,74940,483,0.6230836731091074,1.336618514946876,0.9014802377970738,0.8673698350445337,0.42863810754326426,33.711415621000015
Q3E7_006,74942,483,0.6230836731091074,1.3348407596444627,0.8995458696444764,0.9579808214758675,0.48394422690835404,34.30259186699999
Q3E7_007,74944,483,0.6230836731091074,1.3348407596444627,0.956541923707224,0.8836050610877875,0.48232671596183213,34.24108104999999
Q3E7_008,74944,483,0.6230836731091074,1.3348407596444627,0.956541923707224,0.8846235395211832,0.4823267159618323,33.87319535700004
