node_id,time,x,y,z,mode,task_id,relay_id
U01,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M001,
U01,390.0,318686.2012849663,2545556.1393078705,127.7,climb,M001,
U01,514.7101582845053,318686.2012849663,2545556.1393078705,501.8304748535156,climb,M001,
U01,514.7101582845053,318686.2012849663,2545556.1393078705,501.8304748535156,cruise,M001,
U01,892.5874912521838,314816.04690611176,2547919.1562834387,501.8304748535156,cruise,M001,
U01,953.91968119359,314816.04690611176,2547919.1562834387,348.5,descent,M001,
U01,953.91968119359,314816.04690611176,2547919.1562834387,348.5,handover,M001,
U01,953.91968119359,314816.04690611176,2547919.1562834387,348.5,climb,M001,
U01,1034.5401239019234,314816.04690611176,2547919.1562834387,590.361328125,climb,M001,
U01,1034.5401239019234,314816.04690611176,2547919.1562834387,590.361328125,cruise,M001,
U01,1243.4982209469172,315500.3321695994,2545506.834640633,590.361328125,cruise,M001,
U01,1353.722752196917,315500.3321695994,2545506.834640633,314.8,descent,M001,
U01,1353.722752196917,315500.3321695994,2545506.834640633,314.8,handover,M001,
U01,1353.722752196917,315500.3321695994,2545506.834640633,314.8,climb,M001,
U01,1370.8220319820734,315500.3321695994,2545506.834640633,366.0978393554688,climb,M001,
U01,1370.8220319820734,315500.3321695994,2545506.834640633,366.0978393554688,cruise,M001,
U01,1636.3429164198878,318686.2012849663,2545556.1393078705,366.0978393554688,cruise,M001,
U01,1731.7020521620755,318686.2012849663,2545556.1393078705,127.7,descent,M001,
U01,2121.702052162075,318686.2012849663,2545556.1393078705,127.7,prep,M016,
U01,2121.702052162075,315500.3321695994,2545506.834640633,314.8,return,M001,
U01,2674.7762764367635,318686.2012849663,2545556.1393078705,127.7,climb,M016,
U01,2729.9926196171023,318686.2012849663,2545556.1393078705,293.3490295410156,climb,M016,
U01,2729.9926196171023,318686.2012849663,2545556.1393078705,293.3490295410156,cruise,M016,
U01,2964.0007918466836,317639.7049014466,2548161.952054749,293.3490295410156,cruise,M016,
U01,2996.50040366309,317639.7049014466,2548161.952054749,212.1,descent,M016,
U01,2996.50040366309,317639.7049014466,2548161.952054749,212.1,handover,M016,
U01,2996.50040366309,317639.7049014466,2548161.952054749,212.1,climb,M016,
U01,3023.583413510095,317639.7049014466,2548161.952054749,293.3490295410156,climb,M016,
U01,3023.583413510095,317639.7049014466,2548161.952054749,293.3490295410156,cruise,M016,
U01,3257.5915857396762,318686.2012849663,2545556.1393078705,293.3490295410156,cruise,M016,
U01,3323.8511975560823,318686.2012849663,2545556.1393078705,127.7,descent,M016,
U01,3533.8511975560823,317639.7049014466,2548161.952054749,212.1,return,M016,
U02,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M002,
U02,390.0,318686.2012849663,2545556.1393078705,127.7,climb,M002,
U02,438.45220336914065,318686.2012849663,2545556.1393078705,273.0566101074219,climb,M002,
U02,438.45220336914065,318686.2012849663,2545556.1393078705,273.0566101074219,cruise,M002,
U02,692.951261922644,319988.599872737,2548318.494265952,273.0566101074219,cruise,M002,
U02,728.5739059656128,319988.599872737,2548318.494265952,184.0,descent,M002,
U02,728.5739059656128,319988.599872737,2548318.494265952,184.0,handover,M002,
U02,728.5739059656128,319988.599872737,2548318.494265952,184.0,climb,M002,
U02,812.4404424239461,319988.599872737,2548318.494265952,435.599609375,climb,M002,
