atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
XB02_M004_G00,XB02_M004_G00,XB02,M004,753.6875,1171.15625,417.46875,0.0,2.0
XB02_M005_G00,XB02_M005_G00,XB02,M005,2615.78125,3416.09375,800.3125,0.0,2.0
XB02_M007_G00,XB02_M007_G00,XB02,M007,814.03125,1755.65625,941.625,0.0,2.0
XB02_M008_G00,XB02_M008_G00,XB02,M008,2296.46875,2694.125,397.65625,0.0,2.0
XB02_M009_G00,XB02_M009_G00,XB02,M009,3058.15625,4227.3125,1169.15625,0.0,2.0
XB02_M010_G00,XB02_M010_G00,XB02,M010,804.8125,1423.96875,619.15625,0.0,2.0
XB02_M012_G00,XB02_M012_G00,XB02,M012,3791.3125,4580.59375,789.28125,0.0,2.0
XB02_M013_G00,XB02_M013_G00,XB02,M013,3947.90625,3973.25,25.34375,0.0,2.0
XB02_M013_G01,XB02_M013_G01,XB02,M013,3980.78125,4600.03125,619.25,0.0,2.0
XB02_M013_G02,XB02_M013_G02,XB02,M013,4607.53125,4632.875,25.34375,0.0,2.0
XB02_M014_G00,XB02_M014_G00,XB02,M014,6484.5625,7268.40625,783.84375,0.0,2.0
XB02_M015_G00,XB02_M015_G00,XB02,M015,5649.0,6720.34375,1071.34375,0.0,2.0
XB02_M016_G00,XB02_M016_G00,XB02,M016,5646.96875,6387.71875,740.75,0.0,2.0
XB02_M017_G00,XB02_M017_G00,XB02,M017,5953.6875,6798.15625,844.46875,0.0,2.0
XB02_M018_G00,XB02_M018_G00,XB02,M018,4549.21875,5368.46875,819.25,0.0,2.0
XB02_M020_G00,XB02_M020_G00,XB02,M020,8405.0,8928.9375,523.9375,0.0,2.0
