rho,sorties,energy_kwh,sum_duration_s,sorties_A,sorties_B,sorties_C
0.1,18,59.130796486658646,32776.09267694376,0,9,9
0.15,18,59.130796486658646,32776.09267694376,0,9,9
0.2,18,59.130796486658646,32776.09267694376,0,9,9
0.25,19,61.07285863449599,34565.740688117,0,10,9
0.3,20,67.22708633206175,36586.269126062034,0,9,11
