service_id,uav_type,mask,box_ids,mass_kg,volume_m3,energy_kwh,time_s,reserve_limit
S001,A,1,['S001-MED-01'],3.0,0.012,1.1677763740734295,1190.9011452645589,0.7404941390947934
S001,B,1,['S001-MED-01'],3.0,0.012,0.9378596544281993,1089.1015218431576,0.7655350863929502
S001,C,1,['S001-MED-01'],3.0,0.012,1.946709648809808,1164.170391878965,0.756661293898774
S001,A,2,['S001-MED-02'],3.0,0.012,1.1677763740734295,1190.9011452645589,0.7404941390947934
S001,B,2,['S001-MED-02'],3.0,0.012,0.9378596544281993,1089.1015218431576,0.7655350863929502
S001,C,2,['S001-MED-02'],3.0,0.012,1.946709648809808,1164.170391878965,0.756661293898774
S001,A,3,"['S001-MED-01', 'S001-MED-02']",6.0,0.024,1.1780555951641682,1250.9011452645589,0.7382098677412959
S001,B,3,"['S001-MED-01', 'S001-MED-02']",6.0,0.024,0.9509059924494303,1149.1015218431576,0.7622735018876424
S001,C,3,"['S001-MED-01', 'S001-MED-02']",6.0,0.024,1.9551796519294844,1230.170391878965,0.7556025435088145
S001,A,4,['S001-WAT-01'],14.0,0.027,1.2195056111647737,1190.9011452645589,0.7289987530744948
S001,B,4,['S001-WAT-01'],14.0,0.027,1.00695552097072,1089.1015218431576,0.74826111975732
S001,C,4,['S001-WAT-01'],14.0,0.027,1.987632468291034,1164.170391878965,0.7515459414636207
S001,A,5,"['S001-MED-01', 'S001-WAT-01']",17.0,0.039,1.2403043609953324,1250.9011452645589,0.7243768086677039
S001,B,5,"['S001-MED-01', 'S001-WAT-01']",17.0,0.039,1.037168147408455,1149.1015218431576,0.7407079631478862
S001,C,5,"['S001-MED-01', 'S001-WAT-01']",17.0,0.039,2.0030452836210837,1230.170391878965,0.7496193395473645
S001,A,6,"['S001-MED-02', 'S001-WAT-01']",17.0,0.039,1.2403043609953324,1250.9011452645589,0.7243768086677039
S001,B,6,"['S001-MED-02', 'S001-WAT-01']",17.0,0.039,1.037168147408455,1149.1015218431576,0.7407079631478862
S001,C,6,"['S001-MED-02', 'S001-WAT-01']",17.0,0.039,2.0030452836210837,1230.170391878965,0.7496193395473645
S001,A,7,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01']",20.0,0.051000000000000004,1.2643245572747412,1310.9011452645589,0.7190389872722798
S001,B,7,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01']",20.0,0.051000000000000004,1.073960767623688,1209.1015218431576,0.7315098080940781
S001,C,7,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01']",20.0,0.051000000000000004,2.0201825183593534,1296.170391878965,0.7474771852050808
S001,A,8,['S001-WAT-02'],14.0,0.027,1.2195056111647737,1190.9011452645589,0.7289987530744948
S001,B,8,['S001-WAT-02'],14.0,0.027,1.00695552097072,1089.1015218431576,0.74826111975732
S001,C,8,['S001-WAT-02'],14.0,0.027,1.987632468291034,1164.170391878965,0.7515459414636207
S001,A,9,"['S001-MED-01', 'S001-WAT-02']",17.0,0.039,1.2403043609953324,1250.9011452645589,0.7243768086677039
S001,B,9,"['S001-MED-01', 'S001-WAT-02']",17.0,0.039,1.037168147408455,1149.1015218431576,0.7407079631478862
S001,C,9,"['S001-MED-01', 'S001-WAT-02']",17.0,0.039,2.0030452836210837,1230.170391878965,0.7496193395473645
S001,A,10,"['S001-MED-02', 'S001-WAT-02']",17.0,0.039,1.2403043609953324,1250.9011452645589,0.7243768086677039
S001,B,10,"['S001-MED-02', 'S001-WAT-02']",17.0,0.039,1.037168147408455,1149.1015218431576,0.7407079631478862
S001,C,10,"['S001-MED-02', 'S001-WAT-02']",17.0,0.039,2.0030452836210837,1230.170391878965,0.7496193395473645
S001,A,11,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-02']",20.0,0.051000000000000004,1.2643245572747412,1310.9011452645589,0.7190389872722798
S001,B,11,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-02']",20.0,0.051000000000000004,1.073960767623688,1209.1015218431576,0.7315098080940781
S001,C,11,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-02']",20.0,0.051000000000000004,2.0201825183593534,1296.170391878965,0.7474771852050808
S001,B,12,"['S001-WAT-01', 'S001-WAT-02']",28.0,0.054,1.2203963670264113,1149.1015218431576,0.6949009082433972
S001,C,12,"['S001-WAT-01', 'S001-WAT-02']",28.0,0.054,2.074687768651514,1230.170391878965,0.7406640289185608
S001,C,13,"['S001-MED-01', 'S001-WAT-01', 'S001-WAT-02']",31.0,0.066,2.0986910606390814,1296.170391878965,0.7376636174201148
S001,C,14,"['S001-MED-02', 'S001-WAT-01', 'S001-WAT-02']",31.0,0.066,2.0986910606390814,1296.170391878965,0.7376636174201148
S001,C,15,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-02']",34.0,0.078,2.1248433981096397,1362.170391878965,0.734394575236295
S001,A,16,['S001-WAT-03'],14.0,0.027,1.2195056111647737,1190.9011452645589,0.7289987530744948
S001,B,16,['S001-WAT-03'],14.0,0.027,1.00695552097072,1089.1015218431576,0.74826111975732
S001,C,16,['S001-WAT-03'],14.0,0.027,1.987632468291034,1164.170391878965,0.7515459414636207
S001,A,17,"['S001-MED-01', 'S001-WAT-03']",17.0,0.039,1.2403043609953324,1250.9011452645589,0.7243768086677039
S001,B,17,"['S001-MED-01', 'S001-WAT-03']",17.0,0.039,1.037168147408455,1149.1015218431576,0.7407079631478862
S001,C,17,"['S001-MED-01', 'S001-WAT-03']",17.0,0.039,2.0030452836210837,1230.170391878965,0.7496193395473645
S001,A,18,"['S001-MED-02', 'S001-WAT-03']",17.0,0.039,1.2403043609953324,1250.9011452645589,0.7243768086677039
S001,B,18,"['S001-MED-02', 'S001-WAT-03']",17.0,0.039,1.037168147408455,1149.1015218431576,0.7407079631478862
S001,C,18,"['S001-MED-02', 'S001-WAT-03']",17.0,0.039,2.0030452836210837,1230.170391878965,0.7496193395473645
S001,A,19,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-03']",20.0,0.051000000000000004,1.2643245572747412,1310.9011452645589,0.7190389872722798
S001,B,19,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-03']",20.0,0.051000000000000004,1.073960767623688,1209.1015218431576,0.7315098080940781
S001,C,19,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-03']",20.0,0.051000000000000004,2.0201825183593534,1296.170391878965,0.7474771852050808
S001,B,20,"['S001-WAT-01', 'S001-WAT-03']",28.0,0.054,1.2203963670264113,1149.1015218431576,0.6949009082433972
S001,C,20,"['S001-WAT-01', 'S001-WAT-03']",28.0,0.054,2.074687768651514,1230.170391878965,0.7406640289185608
S001,C,21,"['S001-MED-01', 'S001-WAT-01', 'S001-WAT-03']",31.0,0.066,2.0986910606390814,1296.170391878965,0.7376636174201148
S001,C,22,"['S001-MED-02', 'S001-WAT-01', 'S001-WAT-03']",31.0,0.066,2.0986910606390814,1296.170391878965,0.7376636174201148
S001,C,23,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-01', 'S001-WAT-03']",34.0,0.078,2.1248433981096397,1362.170391878965,0.734394575236295
S001,B,24,"['S001-WAT-02', 'S001-WAT-03']",28.0,0.054,1.2203963670264113,1149.1015218431576,0.6949009082433972
S001,C,24,"['S001-WAT-02', 'S001-WAT-03']",28.0,0.054,2.074687768651514,1230.170391878965,0.7406640289185608
S001,C,25,"['S001-MED-01', 'S001-WAT-02', 'S001-WAT-03']",31.0,0.066,2.0986910606390814,1296.170391878965,0.7376636174201148
S001,C,26,"['S001-MED-02', 'S001-WAT-02', 'S001-WAT-03']",31.0,0.066,2.0986910606390814,1296.170391878965,0.7376636174201148
S001,C,27,"['S001-MED-01', 'S001-MED-02', 'S001-WAT-02', 'S001-WAT-03']",34.0,0.078,2.1248433981096397,1362.170391878965,0.734394575236295
S001,C,28,"['S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03']",42.0,0.081,2.20652579876825,1296.170391878965,0.7241842751539688
S001,C,29,"['S001-MED-01', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03']",45.0,0.093,2.24232572258651,1362.170391878965,0.7197092846766863
S001,C,30,"['S001-MED-02', 'S001-WAT-01', 'S001-WAT-02', 'S001-WAT-03']",45.0,0.093,2.24232572258651,1362.170391878965,0.7197092846766863
