site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,robust_slack_db,Gamma_C_db
E52_7ccd1e182a1b2540fd645bfb,17.598222271069588,2.4191590009326376,2.4191590009326376,429.0509151666868,465.88596358791074,630.2977572539465,0.24168092785315382,0.009166666666666667,0.18918663194444446,0.44003422646426493,2.1199657735357356,0.8624893042299172,447.8438232421875,5.8232421875,5.8232421875,447.8438232421875,575.5438232421875,4727.2331794045995,525.5438232421875,30.0,639.0509151666868,0.0,1,XB01_M006_G00,XB01_M006_G00,XB01,M006,804.8125,1423.96875,619.15625,2.4191590009326376,0.0
E52_7ccd1e182a1b2540fd645bfb,2.2842575791542856,2.4191590009326376,2.2842575791542856,429.0509151666868,465.88596358791074,630.2977572539465,0.24168092785315382,0.009166666666666667,0.12755989583333335,0.3784074903531538,2.1815925096468467,0.8817476592646394,447.8438232421875,5.8232421875,5.8232421875,447.8438232421875,575.5438232421875,4727.2331794045995,525.5438232421875,30.0,639.0509151666868,0.0,1,XB01_M014_G00,XB01_M014_G00,XB01,M014,753.6875,1171.15625,417.46875,2.2842575791542856,0.0
E52_214ce9a3b3bd3fa9c582335a,9.466834534918547,15.138353346483314,9.466834534918547,331.46735474952504,365.31699057309277,459.8368945576438,0.1830074384559416,0.009166666666666667,0.1300043402777778,0.3221784454003861,2.2378215545996145,0.8993192358123794,406.1956298828125,0.0,0.0,406.1956298828125,533.8956298828125,3448.7767091823284,283.8956298828125,30.0,541.467354749525,0.0,1,XB01_M003_G00,XB01_M003_G00,XB01,M003,3277.15625,3702.625,425.46875,9.466834534918547,0.0
E52_214ce9a3b3bd3fa9c582335a,0.3126060525719936,15.138353346483314,0.3126060525719936,331.46735474952504,365.31699057309277,459.8368945576438,0.1830074384559416,0.009166666666666667,0.1215060763888889,0.3136801815114972,2.2463198184885034,0.9019749432776571,406.1956298828125,0.0,0.0,406.1956298828125,533.8956298828125,3448.7767091823284,283.8956298828125,30.0,541.467354749525,0.0,1,XB01_M005_G00,XB01_M005_G00,XB01,M005,2610.84375,3008.5,397.65625,0.3126060525719936,0.0
E52_214ce9a3b3bd3fa9c582335a,0.14955749359387482,15.138353346483314,0.14955749359387482,331.46735474952504,365.31699057309277,459.8368945576438,0.1830074384559416,0.009166666666666667,0.2523888888888889,0.4445629940114971,2.1154370059885035,0.8610740643714072,406.1956298828125,0.0,0.0,406.1956298828125,533.8956298828125,3448.7767091823284,283.8956298828125,30.0,541.467354749525,0.0,1,XB01_M009_G00,XB01_M009_G00,XB01,M009,2828.96875,3654.96875,826.0,0.14955749359387482,0.0
E52_214ce9a3b3bd3fa9c582335a,9.466834534918547,15.138353346483314,9.466834534918547,331.46735474952504,365.31699057309277,459.8368945576438,0.1830074384559416,0.009166666666666667,0.1300138888888889,0.32218799401149717,2.2378120059885034,0.8993162518714072,406.1956298828125,0.0,0.0,406.1956298828125,533.8956298828125,3448.7767091823284,283.8956298828125,30.0,541.467354749525,0.0,1,XB01_M010_G00,XB01_M010_G00,XB01,M010,2572.40625,2997.90625,425.5,9.466834534918547,0.0
E52_214ce9a3b3bd3fa9c582335a,0.14955749359387482,15.138353346483314,0.14955749359387482,331.46735474952504,365.31699057309277,459.8368945576438,0.1830074384559416,0.009166666666666667,0.29871875000000003,0.4908928551226083,2.069107144877392,0.8465959827741849,406.1956298828125,0.0,0.0,406.1956298828125,533.8956298828125,3448.7767091823284,283.8956298828125,30.0,541.467354749525,0.0,1,XB01_M013_G00,XB01_M013_G00,XB01,M013,2405.59375,3383.21875,977.625,0.14955749359387482,0.0
E52_82c821a5773d0bfbe554f10a,3.9055423871373875,11.397135806608844,3.9055423871373875,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.31635503472222226,0.6080766876528193,1.9519233123471813,0.8099760351084939,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M012_G00,XB01_M012_G00,XB01,M012,2536.03125,3571.375,1035.34375,3.9055423871373875,0.0
E52_82c821a5773d0bfbe554f10a,7.03127482901877,11.397135806608844,7.03127482901877,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.12084722222222223,0.41256887515281926,2.147431124847181,0.871072226514744,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M016_G00,XB01_M016_G00,XB01,M016,781.0625,1176.5625,395.5,7.03127482901877,0.0
E52_82c821a5773d0bfbe554f10a,5.523919136465679,11.397135806608844,5.523919136465679,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.2702256944444445,0.5619473473750416,1.998052652624959,0.8243914539452994,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M018_G00,XB01_M018_G00,XB01,M018,770.21875,1654.59375,884.375,5.523919136465679,0.0
E52_060143e4033ea7dfc142ce26,6.23446973686174,13.051384290227645,6.23446973686174,390.52156568077555,422.97629514244545,586.3147545915316,0.2219218246513189,0.009166666666666667,0.2445399305555556,0.47562842187354115,2.0843715781264596,0.8513661181645185,389.4567535400391,0.0,0.0,389.4567535400391,517.1567535400391,4397.360659436487,293.1027526855469,30.0,600.5215656807756,0.0,1,XB01_M011_G00,XB01_M011_G00,XB01,M011,2301.40625,3101.71875,800.3125,6.23446973686174,0.0
E52_82c821a5773d0bfbe554f10a,3.9055423871373875,11.397135806608844,3.9055423871373875,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.28258159722222226,0.5743032501528194,1.9856967498471811,0.8205302343272439,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M017_G00,XB01_M017_G00,XB01,M017,4989.78125,5914.59375,924.8125,3.9055423871373875,0.0
E52_82c821a5773d0bfbe554f10a,1.9898130596061634,11.397135806608844,1.9898130596061634,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.1600920138888889,0.451813666819486,2.1081863331805146,0.8588082291189106,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M019_G00,XB01_M019_G00,XB01,M019,4084.3125,4608.25,523.9375,1.9898130596061634,0.0
E52_82c821a5773d0bfbe554f10a,11.24094673410805,11.397135806608844,11.24094673410805,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.1807265625,0.472448215430597,2.0875517845694036,0.8523599326779384,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M020_G00,XB01_M020_G00,XB01,M020,4274.6875,4866.15625,591.46875,11.24094673410805,0.0
E52_82c821a5773d0bfbe554f10a,8.076714934415634,11.397135806608844,8.076714934415634,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.007743923611111111,0.29946557654170813,2.2605344234582923,0.9064170073307162,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M021_G00,XB01_M021_G00,XB01,M021,4621.5625,4646.90625,25.34375,8.076714934415634,0.0
E52_82c821a5773d0bfbe554f10a,8.226809702901718,11.397135806608844,8.226809702901718,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.1569982638888889,0.448719916819486,2.1112800831805147,0.8597750259939106,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M021_G01,XB01_M021_G01,XB01,M021,4654.40625,5168.21875,513.8125,8.226809702901718,0.0
E52_82c821a5773d0bfbe554f10a,5.523919136465679,11.397135806608844,5.523919136465679,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.2551579861111111,0.5468796390417081,2.0131203609582924,0.8291001127994662,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,XB01_M021_G02,XB01_M021_G02,XB01,M021,5196.78125,6031.84375,835.0625,5.523919136465679,0.0
