sortie_id,shift_s
M001,-0.0
M002,510.4493222679531
M003,-2466.08031880641
M004,-1250.9011642645478
M005,-1869.7522046190134
M006,2103.5565478627886
M007,-0.0
M008,1626.170392878965
M009,-2111.1461387911695
M010,-1761.3504865324946
M011,-1555.3769124463433
M012,2480.3154229226366
M013,-1561.5595359403233
M014,2154.6815478627886
M015,1712.5593633871804
M016,4235.284172922637
M017,636.760454878724
M018,4246.127922922637
M019,1542.229204878724
M020,1351.854204878724
M021,1004.979204878724
M022,-1786.9881062200902
M023,1542.2291958787298
M024,-1593.5972160170527
