uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2397.097741957588
U02,M002,0.0,2129.1400323053044
U05,M003,0.0,1869.7521946190163
U06,M004,0.0,1756.6939339219116
U07,M005,0.0,1495.5595259403467
U03,M006,0.0,1654.8593983215956
U06,M007,1756.6939439219116,3207.1642242148564
U05,M008,1869.7522046190163,3078.8537264621737
U08,M009,0.0,2199.7120845921745
U05,M010,3078.853736462174,5159.396834738056
U06,M011,3207.164234214856,5128.812245388098
U06,M012,5128.812255388098,6957.1008394085475
U04,M013,0.0,1688.6138747133884
U05,M014,5159.396844738057,6675.57170670964
U03,M015,1654.8594083215955,2876.886327325029
U07,M016,1495.5595359403467,2989.7299278193113
U08,M017,2199.7120945921747,4307.524113230883
U07,M018,2989.7299378193115,4417.900329698276
U08,M019,4307.524123230884,6677.635267567964
U04,M020,1688.6138847133884,3416.049207387027
U07,M021,4417.900339698276,6586.961406291439
U07,M022,6586.9614162914395,8332.156574486982
U05,M023,6675.57171670964,8110.948619155979
U06,M024,6957.100849408547,8759.83540537863
U02,M025,2389.5822352265923,4057.0175579002307
U05,M026,8110.948629155979,9200.050150999137
U06,M027,8759.83541537863,10198.277662773038
U05,M028,9200.050160999137,10268.473811110738
