site_id,task_ids,preparation_start_s,takeoff_s,arrival_s,setup_start_s,service_start_s,service_end_s,return_s,uav_available_s,energy_ready_s,charge_duration_s,return_soc,outbound_time_s,return_time_s,flight_energy_kwh,setup_energy_kwh,active_communication_s,idle_hover_s,active_energy_kwh,idle_energy_kwh,total_energy_kwh,energy_margin_kwh,service_windows,relay_id,energy_component_id,relay_sortie_id
E52_da487d3b8a0906fb4529d12f,"[""A11_M003_G00"", ""A11_M004_G00"", ""A11_M015_G00"", ""A11_M016_G00"", ""A11_M023_G00""]",200.2201452504487,380.2201452504487,711.6875,711.6875,741.6875,1755.65625,2120.9732405731193,2420.9732405731193,2824.9098833225885,703.9366427494691,0.8431256594234853,331.4673547495513,365.316990573119,0.18300743845595838,0.009166666666666667,1013.96875,0.0,0.3098237847222223,0.0,0.5019978898448473,2.058002110155153,"[[741.6875, 1755.65625]]",R01,REC-01,D26092511_019_R001
E52_beb70ec57fd2d66bf65b827f,"[""A11_M019_G00"", ""A11_M020_G00"", ""A11_M022_G00"", ""A11_M024_G00""]",1313.9619249970376,1493.9619249970376,1923.620662821857,1923.620662821857,1953.620662821857,2934.439030292945,3402.534475677986,3702.534475677986,4126.258046377858,723.7235706998721,0.827904945615483,429.6587378248194,468.09544538504076,0.2418430061920666,0.009166666666666667,980.8183674710881,0.0,0.29969450117172136,0.0,0.5507041740304546,2.009295825969546,"[[1953.620662821857, 2934.439030292945]]",R02,REC-02,D26092511_019_R002
E52_47db2d0d55c92154c779a4c9,"[""A11_M006_G00"", ""A11_M014_G00""]",2499.1224193901276,2679.1224193901276,2991.7495186387087,2991.7495186387087,3021.7495186387087,4066.5932686387087,4417.915177864504,4717.915177864504,5119.121845869994,701.2066680054905,0.8452256399957765,312.62709924858126,351.3219092257948,0.16685347284684848,0.009166666666666667,1044.84375,0.0,0.3192578125,0.0,0.49527795201351515,2.064722047986485,"[[3021.7495186387087, 4066.5932686387087]]",R01,REC-03,D26092511_019_R003
E52_82c821a5773d0bfbe554f10a,"[""A11_M005_G00"", ""A11_M008_G00"", ""A11_M008_G01"", ""A11_M008_G02"", ""A11_M009_G00"", ""A11_M009_G01"", ""A11_M009_G02"", ""A11_M010_G00"", ""A11_M010_G01"", ""A11_M010_G02"", ""A11_M017_G00"", ""A11_M018_G00"", ""A11_M025_G00""]",3702.5344756779864,3882.5344756779864,4395.469887149924,4395.469887149924,4425.469887149924,6625.508473270374,7191.5822295706,7491.5822295706,8081.22304086472,889.6408112941195,0.7002762990045235,512.9354114719376,566.0737563002253,0.2825549862639304,0.009166666666666667,1851.571389825349,348.46719629510153,0.5657579246688567,0.10163626558607128,0.959115843185525,1.6008841568144754,"[[4425.469887149924, 5815.010026975273], [6148.445973270374, 6173.789723270374], [6181.289723270374, 6592.633473270374], [6600.164723270374, 6625.508473270374]]",R02,REC-04,D26092511_019_R004
E52_30110e5b3ae38ecfab28ace2,"[""A11_M007_G00""]",4774.293723828649,4954.293723828649,5468.704412975789,5468.704412975789,5498.704412975789,6343.173162975789,6890.923812602665,7190.923812602665,7621.478722446202,730.5549098435363,0.822650069351126,514.4106891471403,547.7506496268766,0.30032099335417484,0.009166666666666667,844.46875,0.0,0.2580321180555556,0.0,0.5675197780763971,1.9924802219236035,"[[5498.704412975789, 6343.173162975789]]",R01,REC-05,D26092511_019_R005
