relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_008_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_008_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_008_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_008_R006,5949.638339845516,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_008_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_008_R004,3693.361034895148,5649.638339845516,5949.638339845516,300.0
R02,Q3E8_G04_008_R007,7324.230502054352,11031.843424690753,11331.843424690753,300.0
R02,Q3E8_G04_008_R009,11331.843424690753,12849.730050815795,13149.730050815795,300.0
R01,Q3E8_G04_008_R010,12095.870146834797,13421.589084867961,13721.589084867961,300.0
R01,Q3E8_G04_008_R008,9684.092841884427,11795.870146834795,12095.870146834795,300.0
