atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
E01_M003_G00,E01_M003_G00,E01,M003,2581.7375,3352.4875,770.75,0.0,2.0
E01_M004_G00,E01_M004_G00,E01,M004,5827.0,6678.625,851.625,0.0,2.0
E01_M005_G00,E01_M005_G00,E01,M005,4982.58125,5827.05,844.46875,0.0,2.0
E01_M009_G00,E01_M009_G00,E01,M009,816.0625,1245.75,429.6875,0.0,2.0
E01_M010_G00,E01_M010_G00,E01,M010,816.0625,1245.75,429.6875,0.0,2.0
E01_M011_G00,E01_M011_G00,E01,M011,3858.225,4647.475,789.2500000000005,0.0,2.0
E01_M012_G00,E01_M012_G00,E01,M012,6272.925,7092.175,819.25,0.0,2.0
E01_M014_G00,E01_M014_G00,E01,M014,746.34375,1547.34375,801.0,0.0,2.0
E01_M015_G00,E01_M015_G00,E01,M015,804.8125,1423.96875,619.15625,0.0,2.0
E01_M016_G00,E01_M016_G00,E01,M016,4484.75,5076.9375,592.1875,0.0,2.0
E01_M017_G00,E01_M017_G00,E01,M017,2472.18125,3675.5875,1203.40625,0.0,2.0
E01_M018_G00,E01_M018_G00,E01,M018,4769.1875,6023.78125,1254.59375,0.0,2.0
E01_M019_G00,E01_M019_G00,E01,M019,7215.0875,7240.43125,25.34375,0.0,2.0
E01_M019_G01,E01_M019_G01,E01,M019,7247.93125,8469.0875,1221.15625,0.0,2.0
E01_M020_G00,E01_M020_G00,E01,M020,864.21875,1850.3125,986.09375,0.0,2.0
