atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,source_relay_id,group_id
A11_M003_G00,A11_M003_G00,M003,747.8125,1603.84375,A11_Q3_001_R001,G2-RUAV-01,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,0.14955749359387482,15.138353346483314,0.14955749359387482,R01,G2
A11_M004_G00,A11_M004_G00,M004,814.03125,1755.65625,A11_Q3_001_R001,G2-RUAV-01,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,0.14955749359387482,15.138353346483314,0.14955749359387482,R01,G2
A11_M015_G00,A11_M015_G00,M015,816.0625,1245.75,A11_Q3_001_R001,G2-RUAV-01,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,9.466834534918547,15.138353346483314,9.466834534918547,R01,G2
A11_M016_G00,A11_M016_G00,M016,816.0625,1245.75,A11_Q3_001_R001,G2-RUAV-01,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,9.466834534918547,15.138353346483314,9.466834534918547,R01,G2
A11_M023_G00,A11_M023_G00,M023,741.6875,1140.6875,A11_Q3_001_R001,G2-RUAV-01,E52_214ce9a3b3bd3fa9c582335a,TRANSPORT_RELAY_G01,1,0.3126060525719936,15.138353346483314,0.3126060525719936,R01,G2
A11_M019_G00,A11_M019_G00,M019,2486.8728236736383,2872.3103236736383,A11_Q3_001_R002,G3-RUAV-01,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,13.002557010438537,2.43785423226241,2.43785423226241,R02,G3
A11_M020_G00,A11_M020_G00,M020,2102.922767596983,2518.360267596983,A11_Q3_001_R002,G3-RUAV-01,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,13.002557010438537,2.43785423226241,2.43785423226241,R02,G3
A11_M022_G00,A11_M022_G00,M022,1953.620663821857,2754.620663821857,A11_Q3_001_R002,G3-RUAV-01,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,1.6281698264162543,2.43785423226241,1.6281698264162543,R02,G3
A11_M024_G00,A11_M024_G00,M024,2315.282781292945,2934.439031292945,A11_Q3_001_R002,G3-RUAV-01,E52_beb70ec57fd2d66bf65b827f,TRANSPORT_RELAY_G01,1,17.38358245881338,2.43785423226241,2.43785423226241,R02,G3
A11_M006_G00,A11_M006_G00,M006,3021.7495196387085,4066.5932696387085,A11_Q3_001_R003,G2-RUAV-01,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,3.0205906267075733,16.45726286038159,3.0205906267075733,R01,G2
A11_M014_G00,A11_M014_G00,M014,3211.42280334655,3611.11030334655,A11_Q3_001_R003,G2-RUAV-01,E52_47db2d0d55c92154c779a4c9,TRANSPORT_RELAY_G01,1,11.176286595238821,16.45726286038159,11.176286595238821,R01,G2
A11_M005_G00,A11_M005_G00,M005,4425.4698881499235,5358.0636381499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,3.9055423871373875,11.397135806608844,3.9055423871373875,R02,G2
A11_M008_G00,A11_M008_G00,M008,4425.4698881499235,4456.1261381499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.083338048554566,11.397135806608844,8.083338048554566,R02,G2
A11_M008_G01,A11_M008_G01,M008,4466.5323881499235,4903.1261381499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718,R02,G2
A11_M008_G02,A11_M008_G02,M008,4913.5011381499235,4944.1886381499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.083077875508948,11.397135806608844,8.083077875508948,R02,G2
A11_M009_G00,A11_M009_G00,M009,6148.445973170374,6173.789723170374,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076615513440018,11.397135806608844,8.076615513440018,R02,G2
A11_M009_G01,A11_M009_G01,M009,6181.289723170374,6592.633473170374,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718,R02,G2
A11_M009_G02,A11_M009_G02,M009,6600.164723170374,6625.508473170374,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.076450462346799,11.397135806608844,8.076450462346799,R02,G2
A11_M010_G00,A11_M010_G00,M010,4425.4698881499235,4456.1261381499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.083338048554566,11.397135806608844,8.083338048554566,R02,G2
A11_M010_G01,A11_M010_G01,M010,4466.5323881499235,4903.1261381499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.226809702901718,11.397135806608844,8.226809702901718,R02,G2
A11_M010_G02,A11_M010_G02,M010,4913.5011381499235,4944.1886381499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,8.083077875508948,11.397135806608844,8.083077875508948,R02,G2
A11_M017_G00,A11_M017_G00,M017,4425.4698881499235,5381.7198881499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,5.523919136465679,11.397135806608844,5.523919136465679,R02,G2
A11_M018_G00,A11_M018_G00,M018,5291.103778975273,5815.010028975273,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,1.9898130596061634,11.397135806608844,1.9898130596061634,R02,G2
A11_M025_G00,A11_M025_G00,M025,4425.4698881499235,5017.6573881499235,A11_Q3_001_R004,G2-RUAV-02,E52_82c821a5773d0bfbe554f10a,TRANSPORT_RELAY_G01,1,11.240343925362424,11.397135806608844,11.240343925362424,R02,G2
A11_M007_G00,A11_M007_G00,M007,5498.7044149757885,6343.1731649757885,A11_Q3_001_R005,G1-RUAV-01,E52_30110e5b3ae38ecfab28ace2,TRANSPORT_RELAY_G01,1,5.268987734543231,10.05954008012911,5.268987734543231,R01,G1
