box_id,sortie_id,service_id,delivery_time_s,expected_deadline_s,first_deadline_s,hard_deadline_s,hard_deadline_ok,normalized_delivery_time,tag,group_id
S013-MED-01,M001,S013,1082.2666280232597,3600.0,3600.0,3600.0,True,0.30062961889534995,P01,G3
S012-MED-01,M001,S012,1621.1640307270998,7200.0,3600.0,3600.0,True,0.2251616709343194,P01,G3
S012-WAT-01,M001,S012,1621.1640307270998,3600.0,3600.0,3600.0,True,0.4503233418686388,P01,G3
S006-MED-01,M002,S006,935.5059666318248,3600.0,3600.0,3600.0,True,0.2598627685088402,P01,G2
S007-MED-01,M002,S007,1543.062370968485,3600.0,3600.0,3600.0,True,0.42862843638013476,P01,G2
S007-WAT-01,M002,S007,1543.062370968485,3600.0,3600.0,3600.0,True,0.42862843638013476,P01,G2
S014-WAT-01,M003,S014,1242.4327639761748,3600.0,3600.0,3600.0,True,0.3451202122156041,P01,G3
S014-MED-01,M003,S014,1242.4327639761748,7200.0,3600.0,3600.0,True,0.17256010610780206,P01,G3
S014-FOD-01,M003,S014,1242.4327639761748,7200.0,,,True,0.17256010610780206,P01,G3
S002-WAT-01,M004,S002,1200.2929748175902,3600.0,3600.0,3600.0,True,0.3334147152271084,P01,G2
S002-MED-01,M004,S002,1200.2929748175902,3600.0,3600.0,3600.0,True,0.3334147152271084,P01,G2
S006-WAT-02,M005,S006,1143.4247629701733,3600.0,,,True,0.317617989713937,P01,G2
S006-WAT-03,M005,S006,1143.4247629701733,3600.0,,,True,0.317617989713937,P01,G2
S006-FOD-01,M005,S006,1143.4247629701733,7200.0,,,True,0.1588089948569685,P01,G2
S006-HYG-01,M005,S006,1143.4247629701733,10800.0,,,True,0.10587266323797902,P01,G2
S006-WAT-01,M005,S006,1143.4247629701733,3600.0,3600.0,3600.0,True,0.317617989713937,P01,G2
S010-WAT-01,M006,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,P01,G3
S010-MED-01,M006,S010,1104.9663658274644,3600.0,3600.0,3600.0,True,0.3069351016187401,P01,G3
S013-FOD-01,M007,S013,3588.2139735524884,7200.0,,,True,0.4983630518822901,P01,G3
S013-WAT-01,M007,S013,3588.2139735524884,3600.0,3600.0,3600.0,True,0.9967261037645802,P01,G3
S001-WAT-01,M008,S001,2714.374037033458,3600.0,3600.0,3600.0,True,0.7539927880648495,P01,G1
S001-MED-01,M008,S001,2714.374037033458,3600.0,3600.0,3600.0,True,0.7539927880648495,P01,G1
S001-MED-02,M008,S001,2714.374037033458,3600.0,,3600.0,True,0.7539927880648495,P01,G1
S008-WAT-01,M009,S008,4420.036828054017,7200.0,7200.0,7200.0,True,0.6138940038963913,P01,G2
S008-WAT-02,M009,S008,4420.036828054017,7200.0,,,True,0.6138940038963913,P01,G2
S008-FOD-01,M009,S008,4420.036828054017,10800.0,,,True,0.4092626692642608,P01,G2
S008-HYG-01,M009,S008,4420.036828054017,14400.0,,,True,0.30694700194819563,P01,G2
S008-MED-01,M009,S008,4420.036828054017,7200.0,7200.0,7200.0,True,0.6138940038963913,P01,G2
S003-WAT-01,M010,S003,5375.229206317371,7200.0,7200.0,7200.0,True,0.7465596119885237,P01,G2
