atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,source,construction_guard_s
P01_GAMMA06_M002_02_A00_R00,P01_GAMMA06_M002_02,P01,M002,1131.59375,1146.3125,14.71875,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_03_A00_R00,P01_GAMMA06_M002_03,P01,M002,1169.03125,1200.46875,31.4375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_03_A00_R01,P01_GAMMA06_M002_03,P01,M002,1200.46875,1231.90625,31.4375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A00_R00,P01_GAMMA06_M002_04,P01,M002,1245.9375,1297.7734375,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A00_R01,P01_GAMMA06_M002_04,P01,M002,1297.7734375,1349.609375,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A00_R02,P01_GAMMA06_M002_04,P01,M002,1349.609375,1401.4453125,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A00_R03,P01_GAMMA06_M002_04,P01,M002,1401.4453125,1453.28125,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A01_R00,P01_GAMMA06_M002_04,P01,M002,1453.28125,1505.1171875,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A01_R01,P01_GAMMA06_M002_04,P01,M002,1505.1171875,1556.953125,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A01_R02,P01_GAMMA06_M002_04,P01,M002,1556.953125,1608.7890625,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M002_04_A01_R03,P01_GAMMA06_M002_04,P01,M002,1608.7890625,1660.625,51.8359375,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A00_R00,P01_GAMMA06_M003_00,P01,M003,752.875,801.0791666666667,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A00_R01,P01_GAMMA06_M003_00,P01,M003,801.0791666666667,849.2833333333333,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A00_R02,P01_GAMMA06_M003_00,P01,M003,849.2833333333333,897.4875,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A00_R03,P01_GAMMA06_M003_00,P01,M003,897.4875,945.6916666666667,48.204166666666765,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A00_R04,P01_GAMMA06_M003_00,P01,M003,945.6916666666667,993.8958333333334,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A01_R00,P01_GAMMA06_M003_00,P01,M003,993.8958333333334,1042.1000000000001,48.204166666666765,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A01_R01,P01_GAMMA06_M003_00,P01,M003,1042.1000000000001,1090.3041666666668,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A01_R02,P01_GAMMA06_M003_00,P01,M003,1090.3041666666668,1138.5083333333334,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
P01_GAMMA06_M003_00_A01_R03,P01_GAMMA06_M003_00,P01,M003,1138.5083333333334,1186.7125,48.20416666666665,6.0,FULL_FLIGHT_DIRECT_PROFILE,2.0
