atomic_task_id,site_id,preparation_start_s,service_start_s,service_end_s,uav_available_s
P01_GAMMA06_M001_00_A00,E52_060143e4033ea7dfc142ce26,147.19718431922445,747.71875,1002.0625,1725.0387951424455
P01_GAMMA06_M001_00_A00,E52_0f45fcab7c66cb90fa618929,109.81988468791673,747.71875,1002.0625,1771.2822790083724
P01_GAMMA06_M001_00_A00,E52_0fa03b8d9ed736d48919c1b7,68.18685119009814,747.71875,1002.0625,1812.0676028504292
P01_GAMMA06_M001_00_A00,E52_12b142f00e8cb4e3948f96c2,135.1250769219631,747.71875,1002.0625,1740.5364485500422
P01_GAMMA06_M001_00_A00,E52_132fcaf6d631eae41e83e018,71.19161599351827,747.71875,1002.0625,1821.981643487276
P01_GAMMA06_M001_00_A00,E52_154bbd26b7808edf72eaa410,92.81077179509043,747.71875,1002.0625,1800.2606403549746
P01_GAMMA06_M001_00_A00,E52_29c9aa5399273a7ee24bceb6,85.7865807826156,747.71875,1002.0625,1788.8620103225276
P01_GAMMA06_M001_00_A00,E52_2d291a2169e36d61d7bf7582,67.3348463406017,747.71875,1002.0625,1829.2618216484934
P01_GAMMA06_M001_00_A00,E52_32cd7932ac3bc8f6e82bd016,104.38152911978153,747.71875,1002.0625,1776.258021152842
P01_GAMMA06_M001_00_A00,E52_3322673a66874be8fb5ff9e0,145.4448498024086,747.71875,1002.0625,1726.038201243327
P01_GAMMA06_M001_00_A00,E52_4d215302190bc5bfb29bf912,230.20905820695367,747.71875,1002.0625,1645.819558126054
P01_GAMMA06_M001_00_A00,E52_67646c2afbeb5602853e5a9c,132.9448498024086,747.71875,1002.0625,1742.7048679099937
P01_GAMMA06_M001_00_A00,E52_68694062ed2e2e792aeb51a9,275.4039890093973,747.71875,1002.0625,1594.8837075746683
P01_GAMMA06_M001_00_A00,E52_7e4744117cf2a1b6b8665ab3,62.89265671452904,747.71875,1002.0625,1832.773222598622
P01_GAMMA06_M001_00_A00,E52_a0032802edd73d232f2c84c2,55.22644124324978,747.71875,1002.0625,1840.6344606529092
P01_GAMMA06_M001_00_A00,E52_a77602565c04dca5831f9b7a,242.36821053828947,747.71875,1002.0625,1624.3772166569415
P01_GAMMA06_M001_00_A00,E52_b4122a9095172602242b40e3,120.44484980240861,747.71875,1002.0625,1759.3715345766605
P01_GAMMA06_M001_00_A00,E52_b544b4d7beda1d6ed7fbeefb,243.80520264027285,747.71875,1002.0625,1626.5536329615338
P01_GAMMA06_M001_00_A00,E52_b7c433bb400c5a28313b13f0,267.08858791447113,747.71875,1002.0625,1593.2672849391258
P01_GAMMA06_M001_00_A00,E52_c76d93c5902d0dc017f7065c,276.85633195966574,747.71875,1002.0625,1580.6328404036155
P01_GAMMA06_M001_00_A00,E52_d1d4424e0dfaa7a0ce62d445,135.64364660360792,747.71875,1002.0625,1738.4420121691785
P01_GAMMA06_M001_00_A00,E52_da1eeef61bb4fffd90feecd9,73.2865807826156,747.71875,1002.0625,1805.5286769891943
P01_GAMMA06_M001_00_A00,E52_dc4c132291b7b9525a26c82f,281.30520264027285,747.71875,1002.0625,1576.5536329615338
P01_GAMMA06_M001_00_A00,E52_eab18c460278cfbad2c20da0,325.4039890093973,747.71875,1002.0625,1528.2170409080018
P01_GAMMA06_M001_00_A00,E52_eddf192c3626d88d236d26e4,295.9919081921311,747.71875,1002.0625,1562.536036754158
P01_GAMMA06_M001_00_A00,E52_fb97bb829fc82a7376005525,53.727768251412726,747.71875,1002.0625,1844.7525133241081
P01_GAMMA06_M002_00_A00,E52_0c9d91fc306062a18ada9948,90.26508000519857,631.6875,829.328125,1499.6006360389094
P01_GAMMA06_M002_00_A00,E52_231de36c6439da832299e30f,85.42355171887323,631.6875,829.328125,1512.4854662254627
P01_GAMMA06_M002_00_A00,E52_27bf01e9e990859ae5993708,103.07367827835043,631.6875,829.328125,1484.3796181287134
P01_GAMMA06_M002_00_A00,E52_27bf1882d0e1a812c8450c72,87.65595215190564,631.6875,829.328125,1507.2891045090644
P01_GAMMA06_M002_00_A00,E52_27fdcb9bc2da20af468e67a1,88.16739335332261,631.6875,829.328125,1501.8330577982074
P01_GAMMA06_M002_00_A00,E52_2d7a36258a59c18fc6a856bf,102.96632031820565,631.6875,829.328125,1490.4997324365145
P01_GAMMA06_M002_00_A00,E52_3a94b6482baa2cfaba8a857d,95.67446944244705,631.6875,829.328125,1498.439148518165
P01_GAMMA06_M002_00_A00,E52_47db2d0d55c92154c779a4c9,109.06040075141874,631.6875,829.328125,1480.6500342257948
P01_GAMMA06_M002_00_A00,E52_8ca7795ffa642a3b129c0a3d,90.74141747977,631.6875,829.328125,1499.2403772589996
P01_GAMMA06_M002_00_A00,E52_8d375985c45fff9288668cb3,67.69147792806314,631.6875,829.328125,1534.5455454890916
P01_GAMMA06_M002_00_A00,E52_b60e4d2a4cdcd5801a5d757f,113.42726239729535,631.6875,829.328125,1474.954513522301
P01_GAMMA06_M002_00_A00,E52_c0294c7ff44d44fc4ede8d97,104.97966974075575,631.6875,829.328125,1488.2851882507807
P01_GAMMA06_M002_00_A00,E52_d6d1511afdebb88632549a71,78.91870609151897,631.6875,829.328125,1519.0056215045097
P01_GAMMA06_M002_00_A00,E52_dbec4f1422e98765afb262aa,99.14728831908411,631.6875,829.328125,1493.4283784899978
P01_GAMMA06_M002_00_A00,E52_de2c36302e014a6d0284c896,96.27572519642985,631.6875,829.328125,1494.0519532296769
P01_GAMMA06_M002_00_A00,E52_f2fabdd802684ffd17ed2273,146.47709764941192,631.6875,829.328125,1433.9332096626
P01_GAMMA06_M003_00_A00,E52_132fcaf6d631eae41e83e018,76.34786599351827,752.875,993.8958333333334,1813.8149768206094
P01_GAMMA06_M003_00_A00,E52_154bbd26b7808edf72eaa410,97.96702179509043,752.875,993.8958333333334,1792.093973688308
