energy_component_id,relay_sortie_id,takeoff_s,return_s,soc_at_takeoff,return_soc,charge_start_s,charge_end_s,charge_duration_s
REC-03,T03_C1_FIXED_Q3_R003,4210.47056085286,6147.1006496268765,1.0,0.822650069351126,6147.1006496268765,6877.655559470413,730.5549098435363
REC-01,T03_C1_FIXED_Q3_R001,204.87708852806236,6443.030006300225,1.0,0.42299545785154957,6443.030006300225,7693.135911093211,1250.1059047929855
REC-02,T03_C1_FIXED_Q3_R002,329.8787621751806,3531.582945385041,1.0,0.7067277715024791,3531.582945385041,4412.836842431818,881.2538970467772
