site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s
E52_82c821a5773d0bfbe554f10a,5.5551725010739545,11.397135806608844,5.5551725010739545,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.019084546324778767,0.3108061992553758,2.249193800744625,0.9028730627326951,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,P01_G001_E52_A000,P01_G001,P01,M002,1169.6403334902727,1232.0988487350032,62.458515244730506
E52_82c821a5773d0bfbe554f10a,7.028218636624786,11.397135806608844,7.028218636624786,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.12218959403237539,0.41391124696297243,2.146088753037028,0.8706527353240712,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,0.0,1,P01_G002_E52_A000,P01_G002,P01,M002,1246.1641088511385,1646.057325684367,399.8932168332285
E52_82c821a5773d0bfbe554f10a,0.6230836731091074,11.397135806608844,0.6230836731091074,512.9354114719376,566.0737563002253,707.0407539741487,0.2825549862639304,0.009166666666666667,0.22603462006531913,0.5177562729959162,2.0422437270040845,0.8382011646887761,637.6601379394531,0.0,0.0,637.6601379394531,765.3601379394531,5302.805654806116,465.3601379394531,30.0,722.9354114719376,40.006007856634255,0,P01_G004_E52_A000,P01_G004,P01,M004,682.9294036153034,1422.6790692836205,739.7496656683171
E52_beb70ec57fd2d66bf65b827f,1.6281698264162543,2.43785423226241,1.6281698264162543,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.35062869913037076,0.6016383719891041,1.9583616280108964,0.811988008753405,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P01_G000_E52_A000,P01_G000,P01,M001,807.1614003372633,1954.6735065821129,1147.5121062448495
E52_beb70ec57fd2d66bf65b827f,17.300958501138936,2.43785423226241,2.43785423226241,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.18923438015486163,0.4402440530135949,2.1197559469864053,0.8624237334332516,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P01_G003_E52_A000,P01_G003,P01,M003,805.2439655639018,1424.556482434358,619.3125168704562
E52_beb70ec57fd2d66bf65b827f,12.999969544391064,2.43785423226241,2.43785423226241,429.6587378248194,468.09544538504076,628.6972302883107,0.2418430061920666,0.009166666666666667,0.1266104784583279,0.37762015131706117,2.182379848682939,0.8819937027134184,461.24049072265626,0.0,0.0,461.24049072265626,588.9404907226562,4715.22922716233,538.9404907226562,30.0,639.6587378248194,0.0,1,P01_G005_E52_A000,P01_G005,P01,M006,790.6092964510069,1204.9708623146255,414.3615658636186
E52_44ed69e1d99dc074a7941a18,3.7548693303543814,8.900383690419545,3.7548693303543814,188.27556058823757,199.0276355292369,299.7078152072368,0.1090911242968749,0.009166666666666667,0.11251456708695484,0.2307723580504964,2.329227641949504,0.9278836381092199,139.59420471191407,10.569305419921875,10.569305419921875,139.59420471191407,267.29420471191406,2247.808614054276,217.29420471191406,30.0,398.27556058823757,0.0,1,P01_G006_E52_A000,P01_G006,P01,M007,2468.001633700186,2836.2311259847656,368.22949228457946
E52_b677873645e212a13901ede2,1.2512697614083237,9.230718628911887,1.2512697614083237,575.9444140089429,616.0268887810784,911.3939793850733,0.3339048259552679,0.009166666666666667,0.19226629806021675,0.5353377906821513,2.0246622093178495,0.8327069404118277,480.989697265625,0.0,0.0,480.989697265625,608.689697265625,6835.45484538805,390.4056396484375,30.0,785.9444140089429,0.0,1,P01_G009_E52_A000,P01_G009,P01,M011,4022.207411890528,4651.44256917851,629.235157287982
E52_47db2d0d55c92154c779a4c9,6.061526749283374,16.45726286038159,6.061526749283374,312.62709924858126,351.3219092257948,393.08533863388124,0.16685347284684848,0.009166666666666667,0.18071062903476545,0.35673076854828056,2.2032692314517197,0.8885216348286623,464.3377197265625,0.0,0.0,464.3377197265625,592.0377197265625,2948.1400397541092,295.61395263671875,30.0,522.6270992485813,0.0,1,P01_G010_E52_A000,P01_G010,P01,M012,5924.649201997334,6516.065806111112,591.4166041137778
E52_47db2d0d55c92154c779a4c9,0.8951419926504371,16.45726286038159,0.8951419926504371,312.62709924858126,351.3219092257948,393.08533863388124,0.16685347284684848,0.009166666666666667,0.1683965034466068,0.344416642960122,2.2155833570398786,0.892369799074962,464.3377197265625,0.0,0.0,464.3377197265625,592.0377197265625,2948.1400397541092,295.61395263671875,30.0,522.6270992485813,0.0,1,P01_G011_E52_A000,P01_G011,P01,M013,743.855314875907,1294.9711443375293,551.1158294616223
