sortie_id,shift_s
M001,1692.170391878965
M002,-2107.8120286387084
M003,-0.0
M004,-0.0
M005,-1.999999972213118e-05
M006,735.8007501660913
M007,619.7409613172686
M008,332.75016222169484
M009,2078.4995701404714
M010,-562.9825156705374
M011,-562.9825056705372
M012,-0.0
M013,-0.0
M014,656.2645219871679
M015,-0.0
M016,93.28203631663064
M017,-613.6416467597437
M018,501.66844816888806
M019,-9.999999974752427e-06
M020,-9.999999974752427e-06
M021,579.2086639088493
M022,179.81835747108835
M023,-0.0
M024,-9.999999974752427e-06
M025,-1204.1313220633122
