atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
F04_M003_G00,F04_M003_G00,F04,M003,2410.23125,3315.85625,905.625,0.0,2.0
F04_M004_G00,F04_M004_G00,F04,M004,1919.2375,2689.9875,770.7500000000002,0.0,2.0
F04_M005_G00,F04_M005_G00,F04,M005,830.5625,1763.15625,932.59375,0.0,2.0
F04_M006_G00,F04_M006_G00,F04,M006,4582.0375,5626.88125,1044.84375,0.0,2.0
F04_M007_G00,F04_M007_G00,F04,M007,5126.28125,5970.75,844.46875,0.0,2.0
F04_M008_G00,F04_M008_G00,F04,M008,4143.825,4174.48125,30.65625,0.0,2.0
F04_M008_G01,F04_M008_G01,F04,M008,4184.8875,4621.48125,436.59375,0.0,2.0
F04_M008_G02,F04_M008_G02,F04,M008,4631.85625,4662.54375,30.6875,0.0,2.0
F04_M009_G00,F04_M009_G00,F04,M009,4485.5375,4510.88125,25.34375,0.0,2.0
F04_M009_G01,F04_M009_G01,F04,M009,4518.38125,4929.725,411.34375,0.0,2.0
F04_M009_G02,F04_M009_G02,F04,M009,4937.25625,4962.6,25.34375,0.0,2.0
F04_M013_G00,F04_M013_G00,F04,M013,3622.31875,4536.69375,914.3750000000005,0.0,2.0
F04_M014_G00,F04_M014_G00,F04,M014,3752.125,4541.375,789.25,0.0,2.0
F04_M015_G00,F04_M015_G00,F04,M015,5632.65,6156.55625,523.90625,0.0,2.0
F04_M016_G00,F04_M016_G00,F04,M016,2769.6375,3155.075,385.4375,0.0,2.0
F04_M018_G00,F04_M018_G00,F04,M018,746.34375,1547.34375,801.0,0.0,2.0
F04_M019_G00,F04_M019_G00,F04,M019,2727.6125,3346.76875,619.15625,0.0,2.0
F04_M020_G00,F04_M020_G00,F04,M020,2103.625,2134.28125,30.65625,0.0,2.0
F04_M020_G01,F04_M020_G01,F04,M020,2144.6875,2533.34375,388.65625,0.0,2.0
F04_M020_G02,F04_M020_G02,F04,M020,2570.0625,3350.09375,780.03125,0.0,2.0
F04_M021_G00,F04_M021_G00,F04,M021,2515.8875,3689.23125,1173.34375,0.0,2.0
F04_M022_G00,F04_M022_G00,F04,M022,807.5,1620.1875,812.6875,0.0,2.0
F04_M023_G00,F04_M023_G00,F04,M023,777.5,1560.1875,782.6875,0.0,2.0
