atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,Gamma_C_db,construction_guard_s
B02_M004_G00,B02_M004_G00,B02,M004,2264.157790292942,2681.626540292942,417.46875,0.0,2.0
B02_M005_G00,B02_M005_G00,B02,M005,746.34375,1547.34375,801.0,0.0,2.0
B02_M007_G00,B02_M007_G00,B02,M007,814.03125,1755.65625,941.625,0.0,2.0
B02_M008_G00,B02_M008_G00,B02,M008,741.6875,1140.6875,399.0,0.0,2.0
B02_M009_G00,B02_M009_G00,B02,M009,2515.857901878946,3689.201651878946,1173.34375,0.0,2.0
B02_M010_G00,B02_M010_G00,B02,M010,2727.5470659700804,3346.7033159700804,619.15625,0.0,2.0
B02_M012_G00,B02_M012_G00,B02,M012,4520.611770589079,5309.861770589079,789.25,0.0,2.0
B02_M013_G00,B02_M013_G00,B02,M013,7298.704740985486,7324.048490985486,25.34375,0.0,2.0
B02_M013_G01,B02_M013_G01,B02,M013,7331.548490985486,7950.798490985486,619.25,0.0,2.0
B02_M013_G02,B02_M013_G02,B02,M013,7958.329740985486,7983.673490985486,25.34375,0.0,2.0
B02_M014_G00,B02_M014_G00,B02,M014,6706.755117528725,7498.380117528725,791.625,0.0,2.0
B02_M015_G00,B02_M015_G00,B02,M015,6432.4219278314595,7513.2656778314595,1080.84375,0.0,2.0
B02_M016_G00,B02_M016_G00,B02,M016,4896.998673606812,5637.748673606812,740.75,0.0,2.0
B02_M017_G00,B02_M017_G00,B02,M017,5126.2374143923225,5970.7061643923225,844.46875,0.0,2.0
B02_M018_G00,B02_M018_G00,B02,M018,6452.454087756112,7271.704087756112,819.25,0.0,2.0
B02_M020_G00,B02_M020_G00,B02,M020,8362.921404923141,8886.827654923141,523.90625,0.0,2.0
