uav_id,sortie_id,busy_start_s,busy_end_s
U07,M001,0.0,1494.170391878965
U08,M002,0.0,1692.170391878965
U03,M003,1832.4,3836.137524213913
U07,M004,1494.2,3602.0120186387085
U02,M005,3041.0,5303.654022177536
U07,M006,3602.1,6038.2111443370795
U08,M007,1692.2,3993.2610665931634
U04,M008,3603.5,5295.696251618126
U01,M009,2908.4,4600.596251618126
U01,M010,0.0,1313.485266596983
U06,M011,1922.8,3130.076912821857
U02,M012,0.0,1313.485266596983
U04,M013,1875.6,3543.0353226736383
U02,M014,1313.5,3040.9353226736384
U04,M015,0.0,1727.4353226736384
U06,M016,5092.0,6933.842307167044
U03,M017,3836.2,5947.346128791161
U06,M018,3130.1,5091.942307167044
U01,M019,1313.5,2908.3593983215956
U03,M020,0.0,1654.8593983215956
U05,M021,3392.1,4580.523650111601
U06,M022,0.0,1922.734555970083
U05,M023,0.0,1510.4702802929446
U05,M024,1510.5,3380.2521946190163
U05,M025,4580.6,6408.88858402045
U08,M026,3993.3,6279.8004360945015
