uav_id,sortie_id,busy_start_s,busy_end_s
U01,M001,0.0,2109.0828301758197
U02,M002,0.0,2003.7375242139126
U07,M003,0.0,1969.2846571841203
U03,M004,0.0,1727.4353226736384
U05,M005,0.0,1555.376902446339
U06,M006,0.0,1450.4702802929446
U04,M007,0.0,1250.9011452645589
U04,M008,1250.9011452645589,3320.041177569863
U06,M009,1450.4702802929446,2599.571802136102
U05,M010,1555.376902446339,2702.653815268196
U03,M011,1727.4353226736384,3990.089344851174
U06,M012,2599.571802136102,4521.219813309343
U05,M013,2702.653815268196,4604.49612243524
U02,M014,2003.7375242139126,3692.3513989273006
U06,M015,4521.219813309343,6289.508397329793
U01,M016,2109.0828301758197,4110.054699453508
U04,M017,3320.041177569863,4542.068096573296
U08,M018,0.0,1428.170391878965
U08,M019,1428.170391878965,3535.982410517673
U07,M020,1969.2846571841203,3398.844183124467
U07,M021,3398.844183124467,5682.212932468454
U08,M022,3535.982410517673,5972.093554854753
U07,M023,5682.212932468454,7851.273999061617
U08,M024,5972.093554854753,7268.263946733718
U08,M025,7268.263946733718,9374.521298583873
U07,M026,7851.273999061617,9796.112371056293
U05,M027,4604.49612243524,6407.2306784053235
U06,M028,6289.508397329793,7679.978677622737
U02,M029,3692.3513989273006,5622.755933379456
U01,M030,4110.054699453508,5306.145340118763
U05,M031,6407.2306784053235,7845.672925799732
U06,M032,7679.978677622737,8748.402327734339
U08,M033,9374.521298583873,11209.04296772802
