kind,task_id,block,start_s,end_s,source_resource_id,resource_id,group_id
TUAV_A,M023,2,1968.6,4182.336160371922,U02,G1-TUAV_A-01,G1
TUAV_A,M022,2,2243.1,4553.110855345105,U04,G1-TUAV_A-02,G1
TUAV_A,M013,2,2273.1,4000.5353226736383,U03,G1-TUAV_A-03,G1
TUAV_A,M021,2,3049.4,5055.672279197948,U01,G1-TUAV_A-04,G1
TUAV_A,M024,2,4000.6,6214.336160371922,U03,G1-TUAV_A-03,G1
TUAV_A,M007,2,4182.4,5874.596251618125,U02,G1-TUAV_A-01,G1
TUAV_B,M015,2,3066.0,4624.442247394409,U05,G1-TUAV_B-01,G1
TUAV_B,M005,2,3792.6,5873.143098275883,U06,G1-TUAV_B-02,G1
TUAV_B,M008,2,4624.5,6140.674861971584,U05,G1-TUAV_B-01,G1
TUAV_C,M001,0,0.0,1494.170391878965,U07,G1-TUAV_C-01,G1
TUAV_C,M002,0,0.0,1692.170391878965,U08,G1-TUAV_C-02,G1
TUAV_C,M020,2,3602.2,6229.812146725357,U07,G1-TUAV_C-01,G1
TBAT_A,M023,2,2328.6,5425.058754981609,BAT-A-06,G1-TBAT_A-01,G1
TBAT_A,M013,2,2633.1,5069.903137012432,BAT-A-01,G1-TBAT_A-02,G1
TBAT_A,M022,2,2633.1,5814.721450343455,BAT-A-02,G1-TBAT_A-03,G1
TBAT_A,M021,2,3439.4,6204.252048720554,BAT-A-04,G1-TBAT_A-04,G1
TBAT_A,M024,2,4360.6,7444.8846412990315,BAT-A-03,G1-TBAT_A-05,G1
TBAT_A,M007,2,4542.4,7008.11994572637,BAT-A-05,G1-TBAT_A-06,G1
TBAT_B,M015,2,3456.0,6199.466813458778,BAT-B-01,G1-TBAT_B-01,G1
TBAT_B,M005,2,4182.6,7744.433484128591,BAT-B-02,G1-TBAT_B-02,G1
TBAT_B,M008,2,4984.5,7602.294219611336,BAT-B-03,G1-TBAT_B-03,G1
TBAT_C,M001,0,480.0,3138.8507239438864,BAT-C-01,G1-TBAT_C-01,G1
TBAT_C,M002,0,570.0,3315.675124620719,BAT-C-02,G1-TBAT_C-02,G1
TBAT_C,M020,2,4082.2,8674.510370142925,BAT-C-01,G1-TBAT_C-01,G1
RUAV,F13_C2_SITE_B6500_RELAY_00_Q3_R003,2,2476.063331858314,6542.8528846740755,R01,G1-RUAV-01,G1
REC,F13_C2_SITE_B6500_RELAY_00_Q3_R003,2,2656.063331858314,7171.35509818165,REC-03,G1-REC-01,G1
TUAV_A,M009,3,0.0,1253.485266596983,U01,G2-TUAV_A-01,G2
TUAV_A,M012,3,0.0,1313.485266596983,U02,G2-TUAV_A-02,G2
TUAV_A,M003,1,0.0,2003.7375242139124,U03,G2-TUAV_A-03,G2
TUAV_A,M011,3,0.1,1313.5852665969828,U04,G2-TUAV_A-04,G2
TUAV_A,M010,3,1795.9,3049.385266596983,U01,G2-TUAV_A-01,G2
TUAV_B,M016,1,0.0,1555.376902446339,U05,G2-TUAV_B-01,G2
TUAV_B,M019,1,0.0,1869.7521946190166,U06,G2-TUAV_B-02,G2
TUAV_B,M018,1,1555.5,3065.9702802929446,U05,G2-TUAV_B-01,G2
TUAV_B,M017,1,1869.8,3792.5345559700827,U06,G2-TUAV_B-02,G2
TUAV_C,M004,1,1494.2,3602.0120186387085,U07,G2-TUAV_C-01,G2
TUAV_C,M014,1,1692.2,3891.9120845921743,U08,G2-TUAV_C-02,G2
TUAV_C,M006,1,3892.0,6193.061066593164,U08,G2-TUAV_C-01,G2
TBAT_A,M009,3,330.0,2125.824623891611,BAT-A-01,G2-TBAT_A-01,G2
TBAT_A,M012,3,360.0,2176.8456228989835,BAT-A-02,G2-TBAT_A-02,G2
TBAT_A,M003,1,360.0,3375.7949162853256,BAT-A-03,G2-TBAT_A-03,G2
TBAT_A,M011,3,360.1,2205.616775662222,BAT-A-04,G2-TBAT_A-04,G2
TBAT_A,M010,3,2125.9,3921.724623891611,BAT-A-05,G2-TBAT_A-01,G2
TBAT_B,M016,1,390.0,3012.073386160331,BAT-B-01,G2-TBAT_B-01,G2
TBAT_B,M019,1,390.0000000000002,3463.8834966823288,BAT-B-02,G2-TBAT_B-02,G2
TBAT_B,M018,1,1945.5,4523.348194391026,BAT-B-03,G2-TBAT_B-03,G2
TBAT_B,M017,1,2259.8,5651.88814746101,BAT-B-04,G2-TBAT_B-04,G2
TBAT_C,M004,1,1974.2,6020.541325064868,BAT-C-03,G2-TBAT_C-01,G2
TBAT_C,M014,1,2142.2,6305.835151697787,BAT-C-04,G2-TBAT_C-02,G2
TBAT_C,M006,1,4372.0,8692.804006259066,BAT-C-02,G2-TBAT_C-03,G2
RUAV,F13_C2_SITE_B6500_RELAY_00_Q3_R001,1,12.214498897820818,2475.899213158657,R01,G2-RUAV-01,G2
RUAV,F13_C2_SITE_B6500_RELAY_00_Q3_R002,1,1567.1803878858195,6545.793309522221,R02,G2-RUAV-02,G2
REC,F13_C2_SITE_B6500_RELAY_00_Q3_R001,1,192.21449889782082,2906.2648009999057,REC-01,G2-REC-01,G2
REC,F13_C2_SITE_B6500_RELAY_00_Q3_R002,1,1747.1803878858195,7286.1784392209975,REC-02,G2-REC-02,G2
