atomic_task_id,parent_gap_id,transport_sortie_id,service_start_s,service_end_s,relay_sortie_id,relay_id,site_id,topology,provider_count,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,source_relay_id,group_id
F13_M003_G00,F13_M003_G00,M003,747.8125,1603.84375,F13_C2_SITE_B6500_RELAY_00_Q3_R001,G2-RUAV-01,E52_c515ea57360fd29f9add62f7,TRANSPORT_RELAY_G01,1,3.1934017791412828,10.649906727109496,3.1934017791412828,R01,G2
F13_M016_G00,F13_M016_G00,M016,753.6875,1171.15625,F13_C2_SITE_B6500_RELAY_00_Q3_R001,G2-RUAV-01,E52_c515ea57360fd29f9add62f7,TRANSPORT_RELAY_G01,1,8.430087632149124,10.649906727109496,8.430087632149124,R01,G2
F13_M019_G00,F13_M019_G00,M019,804.8125000000002,1423.9687500000002,F13_C2_SITE_B6500_RELAY_00_Q3_R001,G2-RUAV-01,E52_c515ea57360fd29f9add62f7,TRANSPORT_RELAY_G01,1,5.110675927180537,10.649906727109496,5.110675927180537,R01,G2
F13_M004_G00,F13_M004_G00,M004,2308.23125,3249.85625,F13_C2_SITE_B6500_RELAY_00_Q3_R002,G2-RUAV-02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.914652990064113,10.01648148125875,7.914652990064113,R02,G2
F13_M006_G00,F13_M006_G00,M006,4846.78125,5691.25,F13_C2_SITE_B6500_RELAY_00_Q3_R002,G2-RUAV-02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,4.640389078516122,10.01648148125875,4.640389078516122,R02,G2
F13_M014_G00,F13_M014_G00,M014,2526.66875,3482.91875,F13_C2_SITE_B6500_RELAY_00_Q3_R002,G2-RUAV-02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,0.4692401324579123,10.01648148125875,0.4692401324579123,R02,G2
F13_M017_G00,F13_M017_G00,M017,2616.14375,3417.14375,F13_C2_SITE_B6500_RELAY_00_Q3_R002,G2-RUAV-02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,7.697786272509717,10.01648148125875,7.697786272509717,R02,G2
F13_M018_G00,F13_M018_G00,M018,2297.1875,2696.1875,F13_C2_SITE_B6500_RELAY_00_Q3_R002,G2-RUAV-02,E52_cdef0b479e00ae29ebd83132,TRANSPORT_RELAY_G01,1,5.870320954293348,10.01648148125875,5.870320954293348,R02,G2
F13_M005_G00,F13_M005_G00,M005,4587.6,5439.225,F13_C2_SITE_B6500_RELAY_00_Q3_R003,G1-RUAV-01,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.910998135102375,3.8094716871601975,3.8094716871601975,R01,G1
F13_M007_G00,F13_M007_G00,M007,4942.525,4973.18125,F13_C2_SITE_B6500_RELAY_00_Q3_R003,G1-RUAV-01,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,6.062181025359621,3.8094716871601975,3.8094716871601975,R01,G1
F13_M007_G01,F13_M007_G01,M007,4983.5875,5420.18125,F13_C2_SITE_B6500_RELAY_00_Q3_R003,G1-RUAV-01,E52_189eb019491ad876aa165071,TRANSPORT_RELAY_G01,1,4.7107574847429134,3.8094716871601975,3.8094716871601975,R01,G1
