seed,iterations,runtime_s,accepted_moves,J_late,J_norm,makespan,energy,sorties
2026092301,80,305.3427028656006,9,71697.75934029154,0.5625009683100812,9762.401518514973,77.59340404634078,29
2026092302,80,314.78655433654785,10,47269.95148178126,0.5177332957156618,8997.88251488592,75.38241651140777,28
2026092303,80,192.34252786636353,12,47525.42690738551,0.5060441848732791,9737.371738294818,75.22816048908497,28
2026092304,80,174.47548055648804,11,56788.07356263759,0.5227605243812437,10092.961973176583,77.68311269161434,29
2026092305,80,275.6897301673889,11,47179.67461955334,0.48081642418711884,9194.171206519939,74.96035559211637,27
2026092306,80,168.0876340866089,13,46965.24129558652,0.5059949215134996,8941.797952415258,75.29081085824738,28
2026092307,80,208.48130106925964,22,28569.79538945284,0.5270079634662485,10250.303430472715,73.47077585529216,28
2026092308,80,199.4328031539917,12,45386.213468926726,0.535712930702872,9145.289724648383,77.72557716609994,28
2026092309,80,160.6931505203247,9,46570.86741173608,0.5271265797228964,9990.09198241476,80.21763305865451,29
2026092310,80,264.5047800540924,10,75300.56836062348,0.56695448929614,9776.104270070193,75.45044593417958,27
