source,eps,obj_mode,j_bound,J_time,makespan,energy,sorties,soft_late_count
epsilon,0.0,makespan,0.4780761140468921,0.4753806294310454,10597.432092474439,79.15242610915085,30,4
epsilon,0.0,energy,0.4780761140468921,0.47520164291314676,10597.432092474439,79.07507748147118,30,4
epsilon,0.0,sorties,0.4780761140468921,0.47030533185263057,10597.432092474439,79.94596136064484,30,4
epsilon,0.01,makespan,0.48285687518736103,0.47636514423953447,10410.574908502569,77.35860556893901,29,4
epsilon,0.01,energy,0.48285687518736103,0.47809527394093293,10231.124383392465,78.04494563021927,29,5
epsilon,0.01,sorties,0.48285687518736103,0.4706659809564581,10597.432092474439,78.98302217542592,29,4
epsilon,0.02,makespan,0.48763763632782997,0.47636514423953447,10410.574908502569,77.35860556893901,29,4
epsilon,0.02,energy,0.48763763632782997,0.47809527394093293,10231.124383392465,78.04494563021927,29,5
epsilon,0.02,sorties,0.48763763632782997,0.4706659809564581,10597.432092474439,78.98302217542592,29,4
epsilon,0.05,makespan,0.5019799197492367,0.4828558188598834,9827.775542733292,78.65057764292975,29,7
epsilon,0.05,energy,0.5019799197492367,0.4952738103499444,10597.432092474439,77.34282506371015,28,6
epsilon,0.05,sorties,0.5019799197492367,0.49375039485792405,10231.124383392465,75.45168280117805,27,7
