source,seed,J_time,makespan,energy,sorties,eps,obj_mode,j_bound,soft_late_count
stage1_seed,2026092302.0,0.4780761140468921,8739.558036711996,72.95679178707825,26,,,,
epsilon,,0.4703053318526305,10597.43209247444,79.94596136064484,30,0.0,sorties,0.4780761140468921,4.0
epsilon,,0.4763651442395344,10410.574908502567,77.35860556893901,29,0.01,makespan,0.482856875187361,4.0
epsilon,,0.4706659809564581,10597.43209247444,78.98302217542592,29,0.01,sorties,0.482856875187361,4.0
