source,J_late,J_norm,makespan,energy,sorties
B0,64835.35507520103,0.5121143970649981,10550.893808314211,85.63096355537168,32
B1,86522.4199140014,0.5440037237644186,9856.482731640263,75.8193064209682,29
P01,68111.93057207786,0.47807611404689215,8739.558036711996,72.95679178707825,26
P02,73780.41929463184,0.4966703498721414,9206.485375406099,76.42924044228148,28
P03,86977.15161207815,0.5396990130211432,9868.747323312893,76.14767735203667,29
P04,56806.05710191695,0.5369695252719336,10365.71407564243,80.08862816733148,30
P05e,73780.41929463184,0.4966703498721414,9206.485375406099,76.42924044228148,28
P05s,73780.41929463184,0.49648540501621763,9206.485375406099,76.3290643024535,28
ALNS,40057.741663137735,0.47030533185263057,10597.432092474439,79.94596136064484,30
