battery_id,sortie_id,takeoff_s,return_s,energy_kwh
BAT-A-01,M001,360.0,2107.7016981771217,2.9574000493026618
BAT-B-01,M002,390.0,1869.7521946190163,2.1403030047614893
BAT-B-02,M003,360.0,1756.6939339219116,2.43260791577573
BAT-A-02,M004,360.0,1712.55936238718,1.8992860694082216
BAT-A-03,M005,360.0,1654.8593983215956,1.954809785440372
BAT-A-04,M006,360.0,1609.4665893798526,1.9568412244277686
BAT-B-03,M007,2146.6939339219116,2965.795455765069,1.073960767623688
BAT-B-04,M008,2229.7521946190163,3077.0291074408733,1.0987637384368147
BAT-B-01,M009,3463.8834966823283,5403.895695195146,2.9761210024067353
BAT-C-01,M010,450.0,2199.7120845921745,5.836023632389955
BAT-B-02,M011,3477.490697424728,5039.1387085979695,2.576489867036754
BAT-B-03,M012,5399.1387085979695,6806.064019506441,2.07023962281821
BAT-A-05,M013,1969.4665893798526,3301.6628409979785,2.1213050740389403
BAT-A-06,M014,2014.8593983215956,3343.4732730349842,2.254800043434852
BAT-A-04,M015,2674.7762764367635,3533.8511975560823,1.1508046748468406
BAT-C-02,M016,450.0,1428.170391878965,2.720366632699651
BAT-C-03,M017,1908.170391878965,3535.982410517673,6.1056142049076145
BAT-C-04,M018,2679.7120845921745,3693.8824764711394,2.441142819684132
BAT-C-02,M019,3955.982410517673,4965.541936458019,2.327805455709593
BAT-C-01,M020,4613.6351516977875,6551.069263564164,6.141502088085912
BAT-C-04,M021,5355.541936458019,6722.860523942633,3.1446896308474503
BAT-C-02,M022,6971.069263564164,8720.130330157328,5.518469288797766
BAT-C-03,M023,7142.860523942633,8468.055682138176,3.7870462440380046
BAT-B-04,M024,5733.895695195146,6839.272597641485,1.5155761936939673
BAT-B-02,M025,7136.064019506441,8607.417443477825,2.288992826923215
BAT-B-01,M026,7360.214796238065,8418.040484245854,1.5146574548336442
BAT-A-03,M027,2719.582225226592,3580.4833704911507,1.1780555951641682
BAT-B-03,M028,8748.040484245854,9856.482731640263,1.7424262240623476
BAT-B-04,M029,8937.417443477825,9672.889095705312,0.8932052893717091
