relay_id,relay_sortie_id,busy_start_s,return_s,busy_end_s,turnaround_s
R01,Q3E8_G04_009_R001,17.71163788581964,3034.7968430624833,3334.7968430624833,300.0
R02,Q3E8_G04_009_R002,147.97966974075575,2019.5820632507807,2319.5820632507807,300.0
R02,Q3E8_G04_009_R003,2319.5820632507807,4184.852936843234,4484.852936843234,300.0
R01,Q3E8_G04_009_R006,6018.651776489129,7985.9174338057965,8285.917433805796,300.0
R02,Q3E8_G04_009_R005,4484.852936843234,6725.82699268667,7025.82699268667,300.0
R01,Q3E8_G04_009_R004,3762.37447153876,5718.651776489129,6018.651776489129,300.0
R02,Q3E8_G04_009_R007,7091.953346047988,10799.56626868439,11099.56626868439,300.0
R02,Q3E8_G04_009_R009,11099.56626868439,12617.452894809396,12917.452894809396,300.0
R01,Q3E8_G04_009_R010,12917.452894809396,14243.17183284256,14543.17183284256,300.0
R01,Q3E8_G04_009_R008,9797.342861755187,11909.120166705556,12209.120166705556,300.0
