partition_id,k,labels,groups,total_resource_units,total_shortage_units,inventory_feasible,workload_cv,required_TUAV_A,required_TUAV_B,required_TUAV_C,required_TBAT_A,required_TBAT_B,required_TBAT_C,required_RUAV,required_REC,shortage_TUAV_A,shortage_TUAV_B,shortage_TUAV_C,shortage_TBAT_A,shortage_TBAT_B,shortage_TBAT_C,shortage_RUAV,shortage_REC,redundancy_TUAV_A,redundancy_TUAV_B,redundancy_TUAV_C,redundancy_TBAT_A,redundancy_TBAT_B,redundancy_TBAT_C,redundancy_RUAV,redundancy_REC
Q4_K2_001,2,"[0, 0, 0, 0, 0, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S011""]]",29,2,False,0.9579439468600806,4,3,2,6,5,4,2,3,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
Q4_K2_002,2,"[0, 0, 0, 0, 1, 0]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S010"", ""S012"", ""S014""]]",35,7,False,0.6662626961358581,6,4,2,7,5,4,3,4,2,2,0,1,1,0,1,0,2,2,0,1,1,0,1,1
Q4_K2_003,2,"[0, 0, 0, 0, 1, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S010"", ""S011"", ""S012"", ""S014""]]",36,8,False,0.6242066429959386,6,4,2,7,6,4,3,4,2,2,0,1,2,0,1,0,2,2,0,1,2,0,1,1
Q4_K2_004,2,"[0, 0, 0, 1, 0, 0]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014"", ""S015""], [""S006""]]",30,3,False,0.8643132738682041,5,3,2,6,5,4,2,3,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
Q4_K2_005,2,"[0, 0, 0, 1, 0, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S006"", ""S011""]]",29,2,False,0.8222572207282847,5,3,2,6,4,4,2,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Q4_K2_006,2,"[0, 0, 0, 1, 1, 0]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S006"", ""S010"", ""S012"", ""S014""]]",37,9,False,0.5305759700040622,7,4,2,7,6,4,3,4,3,2,0,1,2,0,1,0,3,2,0,1,2,0,1,1
Q4_K2_007,2,"[0, 0, 0, 1, 1, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S007"", ""S008"", ""S009"", ""S013"", ""S015""], [""S006"", ""S010"", ""S011"", ""S012"", ""S014""]]",37,9,False,0.48851991686414287,7,4,2,7,6,4,3,4,3,2,0,1,2,0,1,0,3,2,0,1,2,0,1,1
Q4_K2_008,2,"[0, 0, 1, 0, 0, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004""]]",31,3,False,0.8330498808996114,4,2,3,6,4,5,3,4,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,1
Q4_K2_009,2,"[0, 0, 1, 0, 0, 1]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S004"", ""S011""]]",33,5,False,0.7909938277596918,4,3,3,6,5,5,3,4,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1
Q4_K2_010,2,"[0, 0, 1, 0, 1, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S011"", ""S013"", ""S015""], [""S004"", ""S010"", ""S012"", ""S014""]]",36,9,False,0.4993125770354696,6,4,3,7,5,5,3,3,2,2,1,1,1,1,1,0,2,2,1,1,1,1,1,0
