partition_id,role,k,group_id,services,boxes,mass_kg,workload_s,TUAV_A,TUAV_B,TUAV_C,TBAT_A,TBAT_B,TBAT_C,RUAV,REC
Q4_K2_005,SHORTAGE_PRIORITY,2,G1,S001;S002;S003;S004;S005;S007;S008;S009;S010;S012;S013;S014;S015,71,674.0,51493.50488252392,4,2,2,5,3,4,2,3
Q4_K2_005,SHORTAGE_PRIORITY,2,G2,S006;S011,9,84.0,5022.671096127424,1,1,0,1,1,0,0,0
Q4_K3_060,SHORTAGE_PRIORITY,3,G1,S001,15,154.0,3186.34078375793,0,0,1,0,0,2,0,0
Q4_K3_060,SHORTAGE_PRIORITY,3,G2,S002;S003;S004;S005;S007;S008;S009;S010;S012;S013;S014;S015,56,520.0,48307.16409876599,4,2,2,5,3,3,2,3
Q4_K3_060,SHORTAGE_PRIORITY,3,G3,S006;S011,9,84.0,5022.671096127424,1,1,0,1,1,0,0,0
Q4_K2_016,BALANCE_PRIORITY,2,G1,S001;S004;S006;S010;S011;S012;S014,39,372.0,22357.481133165773,3,2,1,3,3,2,1,1
Q4_K2_016,BALANCE_PRIORITY,2,G2,S002;S003;S005;S007;S008;S009;S013;S015,41,386.0,34158.694845485574,4,2,2,4,3,3,2,2
Q4_K3_030,BALANCE_PRIORITY,3,G1,S001;S004;S006,27,272.0,11738.279385140933,1,1,1,1,1,2,1,1
Q4_K3_030,BALANCE_PRIORITY,3,G2,S002;S003;S005;S007;S008;S009;S013;S015,41,386.0,34158.694845485574,4,2,2,4,3,3,2,2
Q4_K3_030,BALANCE_PRIORITY,3,G3,S010;S011;S012;S014,12,100.0,10619.20174802484,2,2,0,2,3,0,1,1
