partition_id,role,k,group_id,services,boxes,mass_kg,workload_s,TUAV_A,TUAV_B,TUAV_C,TBAT_A,TBAT_B,TBAT_C,RUAV,REC
Q4_K2_001,SHORTAGE_PRIORITY,2,G1,S001;S002;S003;S004;S005;S006;S007;S008;S009;S010;S012;S013;S014;S015,77,733.0,68622.52176151426,3,2,2,4,4,3,2,4
Q4_K2_001,SHORTAGE_PRIORITY,2,G2,S011,3,25.0,2284.5465733468054,1,1,0,1,1,0,0,0
Q4_K3_013,SHORTAGE_PRIORITY,3,G1,S001,15,154.0,5220.543827444241,0,1,1,0,1,2,0,0
Q4_K3_013,SHORTAGE_PRIORITY,3,G2,S002;S003;S004;S005;S006;S007;S008;S009;S010;S012;S013;S014;S015,62,579.0,63401.97793407001,3,2,2,4,4,3,2,4
Q4_K3_013,SHORTAGE_PRIORITY,3,G3,S011,3,25.0,2284.5465733468054,1,1,0,1,1,0,0,0
Q4_K2_007,BALANCE_PRIORITY,2,G1,S001;S002;S003;S005;S006;S007;S008,53,524.0,35700.21159504848,2,1,2,3,2,3,1,2
Q4_K2_007,BALANCE_PRIORITY,2,G2,S004;S009;S010;S011;S012;S013;S014;S015,27,234.0,35206.856739812574,3,2,1,3,3,1,2,2
Q4_K3_017,BALANCE_PRIORITY,3,G1,S001;S009;S011;S015,24,229.0,15584.706879894095,1,2,1,1,3,2,1,1
Q4_K3_017,BALANCE_PRIORITY,3,G2,S002;S003;S005;S006;S007;S008,38,370.0,30479.66776760424,2,1,2,3,2,3,1,2
Q4_K3_017,BALANCE_PRIORITY,3,G3,S004;S010;S012;S013;S014,18,159.0,24842.693687362724,2,2,1,2,2,1,2,2
