partition_id,k,labels,groups,total_resource_units,total_shortage_units,inventory_feasible,workload_cv,required_TUAV_A,required_TUAV_B,required_TUAV_C,required_TBAT_A,required_TBAT_B,required_TBAT_C,required_RUAV,required_REC,shortage_TUAV_A,shortage_TUAV_B,shortage_TUAV_C,shortage_TBAT_A,shortage_TBAT_B,shortage_TBAT_C,shortage_RUAV,shortage_REC,redundancy_TUAV_A,redundancy_TUAV_B,redundancy_TUAV_C,redundancy_TBAT_A,redundancy_TBAT_B,redundancy_TBAT_C,redundancy_RUAV,redundancy_REC
Q4_K2_001,2,"[0, 0, 0, 0, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S011""]]",28,2,False,0.9355622330186336,4,3,2,5,5,3,2,4,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0
Q4_K2_002,2,"[0, 0, 0, 1, 0]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014""], [""S009"", ""S015""]]",31,4,False,0.7721068810531898,5,3,2,5,5,3,3,5,1,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1
Q4_K2_003,2,"[0, 0, 0, 1, 1]","[[""S001"", ""S002"", ""S003"", ""S004"", ""S005"", ""S006"", ""S007"", ""S008"", ""S010"", ""S012"", ""S013"", ""S014""], [""S009"", ""S011"", ""S015""]]",32,5,False,0.7076691140718232,4,4,2,5,6,3,3,5,0,2,0,0,2,0,1,0,0,2,0,1,2,0,1,1
Q4_K2_004,2,"[0, 0, 1, 0, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S011"", ""S015""], [""S004"", ""S010"", ""S012"", ""S013"", ""S014""]]",33,6,False,0.29928865285919726,4,4,3,5,5,4,4,4,0,2,1,0,1,0,2,0,0,2,1,1,1,1,2,0
Q4_K2_005,2,"[0, 0, 1, 0, 1]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S015""], [""S004"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014""]]",36,8,False,0.23485088587783076,5,4,3,6,6,4,4,4,1,2,1,0,2,0,2,0,1,2,1,2,2,1,2,0
Q4_K2_006,2,"[0, 0, 1, 1, 0]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S011""], [""S004"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""]]",32,5,False,0.071395533912387,4,4,3,5,5,4,3,4,0,2,1,0,1,0,1,0,0,2,1,1,1,1,1,0
Q4_K2_007,2,"[0, 0, 1, 1, 1]","[[""S001"", ""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""], [""S004"", ""S009"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014"", ""S015""]]",33,5,False,0.006957766931020488,5,3,3,6,5,4,3,4,1,1,1,0,1,0,1,0,1,1,1,2,1,1,1,0
Q4_K2_008,2,"[0, 1, 0, 0, 0]","[[""S001"", ""S004"", ""S009"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014"", ""S015""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008""]]",35,7,False,0.14029254111415332,5,3,3,6,6,5,3,4,1,1,1,0,2,1,1,0,1,1,1,2,2,2,1,0
Q4_K2_009,2,"[0, 1, 0, 0, 1]","[[""S001"", ""S004"", ""S009"", ""S010"", ""S012"", ""S013"", ""S014"", ""S015""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S011""]]",32,5,False,0.07585477413278686,4,3,3,5,5,5,3,4,0,1,1,0,1,1,1,0,0,1,1,1,1,2,1,0
Q4_K2_010,2,"[0, 1, 0, 1, 0]","[[""S001"", ""S004"", ""S010"", ""S011"", ""S012"", ""S013"", ""S014""], [""S002"", ""S003"", ""S005"", ""S006"", ""S007"", ""S008"", ""S009"", ""S015""]]",38,10,False,0.08760057783265694,5,4,3,6,7,5,4,4,1,2,1,0,3,1,2,0,1,2,1,2,3,2,2,0
