sortie_id,shift_s
M001,2107.812019638708
M002,-2107.8120286387084
M003,66.21875
M004,-0.0
M005,731.0403982012785
M006,535.4924379427089
M007,363.05410312974163
M008,447.527842124623
M009,2251.6283427223257
M010,60.97699417632339
M011,-667.924988672912
M012,-0.0
M013,-0.0
M014,940.316273145661
M015,-0.0
M016,-0.0
M017,960.9386509965921
M018,-822.9887776436663
M019,136.37869534659245
M020,104.891251423248
M021,3.982340078352877
M022,254.19335519837364
M023,74.375
M024,74.37499100000002
M025,576.8485345389918
