sortie_id,shift_s
M001,-450.4493402679476
M002,-1310.9011642645585
M003,2039.956275213913
M004,1185.9019827478728
M005,2411.3232587274506
M006,2514.774882110164
M007,-963.336587306258
M008,42.34375000000023
M009,3407.1169999979484
M010,731.9588162513755
M011,-1179.5492354401406
M012,581.0509673986014
M013,-1494.1704018789649
M014,2127.020260453885
M015,-0.0
M016,6513.379013365572
M017,36.21875000000023
M018,1494.170392878965
M019,751.4920918172193
M020,2218.3929399825456
M021,445.0849277802463
M022,-1310.9011552645588
M023,-254.87601213005837
M024,-0.0
M025,1979.9562572139132
M026,546.369114150124
M027,-0.0
M028,611.2831044343797
