site_id,task_ids,preparation_start_s,takeoff_s,arrival_s,setup_start_s,service_start_s,service_end_s,return_s,uav_available_s,energy_ready_s,charge_duration_s,return_soc,outbound_time_s,return_time_s,flight_energy_kwh,setup_energy_kwh,active_communication_s,idle_hover_s,active_energy_kwh,idle_energy_kwh,total_energy_kwh,energy_margin_kwh,service_windows,relay_id,energy_component_id,relay_sortie_id
E52_47db2d0d55c92154c779a4c9,"[""A11_M006_G00"", ""A11_M014_G00""]",2420.973240573117,2600.973240573117,2913.600339821698,2913.600339821698,2943.600339821698,3988.444089821698,4339.765999047493,4639.765999047493,5040.9726670529835,701.2066680054905,0.8452256399957765,312.62709924858126,351.3219092257948,0.16685347284684848,0.009166666666666667,1044.84375,0.0,0.3192578125,0.0,0.49527795201351515,2.064722047986485,"[[2943.600339821698, 3988.444089821698]]",R01,REC-03,A11_P13A_002_R003
E52_82c821a5773d0bfbe554f10a,"[""A11_M005_G00"", ""A11_M008_G00"", ""A11_M008_G01"", ""A11_M008_G02"", ""A11_M009_G00"", ""A11_M009_G01"", ""A11_M009_G02"", ""A11_M010_G00"", ""A11_M010_G01"", ""A11_M010_G02"", ""A11_M017_G00"", ""A11_M025_G00""]",5098.574772493224,5278.574772493224,5791.5101839651625,5791.5101839651625,5821.5101839651625,7092.822683965162,7658.896440265387,7958.896440265387,8435.21885438997,776.3224141245826,0.7874442968272442,512.9354114719376,566.0737563002253,0.2825549862639304,0.009166666666666667,1271.312499999999,0.0,0.3884565972222219,0.0,0.680178250152819,1.8798217498471814,"[[5821.5101839651625, 7092.822683965162]]",R01,REC-05,A11_P13A_002_R005
E52_be79b94db4a0a5b6faaed631,"[""A11_M019_G00"", ""A11_M020_G00"", ""A11_M022_G00"", ""A11_M024_G00""]",1607.527898204563,1787.527898204563,2226.814030292944,2226.814030292944,2256.814030292944,3057.814030292946,3550.7362717970173,3850.7362717970173,4249.3904809766955,698.6542091796781,0.8471890698617861,439.28613208838135,492.92224150407145,0.23507830977561708,0.009166666666666667,801.0000000000018,0.0,0.24475000000000058,0.0,0.4889949764422843,2.071005023557716,"[[2256.814030292944, 3057.814030292946]]",R02,REC-02,A11_P13A_002_R002
E52_30110e5b3ae38ecfab28ace2,"[""A11_M007_G00"", ""A11_M018_G00""]",3850.7362717970136,4030.7362717970136,4545.146960944154,4545.146960944154,4575.146960944154,5845.591325064868,6393.341974691744,6693.341974691744,7176.774065802001,783.4320911102569,0.7819753145305716,514.4106891471403,547.7506496268766,0.30032099335417484,0.009166666666666667,1270.4443641207145,0.0,0.38819133348132945,0.0,0.697678993502171,1.8623210064978295,"[[4575.146960944154, 5845.591325064868]]",R02,REC-04,A11_P13A_002_R004
E52_da487d3b8a0906fb4529d12f,"[""A11_M003_G00"", ""A11_M004_G00"", ""A11_M015_G00"", ""A11_M016_G00"", ""A11_M023_G00""]",200.2201452504487,380.2201452504487,711.6875,711.6875,741.6875,1755.65625,2120.9732405731193,2420.9732405731193,2824.9098833225885,703.9366427494691,0.8431256594234853,331.4673547495513,365.316990573119,0.18300743845595838,0.009166666666666667,1013.96875,0.0,0.3098237847222223,0.0,0.5019978898448473,2.058002110155153,"[[741.6875, 1755.65625]]",R01,REC-01,A11_P13A_002_R001
