node_id,time,x,y,z,mode,task_id,relay_id,phase_role
U01,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M001,,start
U01,390.0,318686.2012849663,2545556.1393078705,127.7,climb,M001,,start
U01,390.0,318686.2012849663,2545556.1393078705,127.7,prep,M001,,end
U01,390.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M001,,instant
U01,484.8864379882813,318686.2012849663,2545556.1393078705,412.35931396484375,climb,M001,,end
U01,484.8864379882813,318686.2012849663,2545556.1393078705,412.35931396484375,cruise,M001,,start
U01,1100.7571235026235,324105.4192386115,2550581.156895364,412.35931396484375,cruise,M001,,end
U01,1100.7571235026235,324105.4192386115,2550581.156895364,412.35931396484375,descent,M001,,start
U01,1153.780849088561,324105.4192386115,2550581.156895364,279.8,descent,M001,,end
U01,1153.780849088561,324105.4192386115,2550581.156895364,279.8,handover_start,M001,,start
U01,1363.780849088561,324105.4192386115,2550581.156895364,279.8,climb,M001,,start
U01,1363.780849088561,324105.4192386115,2550581.156895364,279.8,handover_end,M001,,end
U01,1428.2442849609567,324105.4192386115,2550581.156895364,473.1903076171875,climb,M001,,end
U01,1428.2442849609567,324105.4192386115,2550581.156895364,473.1903076171875,cruise,M001,,start
U01,1757.4893636500872,323330.1953724307,2546707.0166936666,473.1903076171875,cruise,M001,,end
U01,1757.4893636500872,323330.1953724307,2546707.0166936666,473.1903076171875,descent,M001,,start
U01,1806.125486696962,323330.1953724307,2546707.0166936666,351.6,descent,M001,,end
U01,1806.125486696962,323330.1953724307,2546707.0166936666,351.6,handover_start,M001,,start
U01,1986.125486696962,323330.1953724307,2546707.0166936666,351.6,climb,M001,,start
U01,1986.125486696962,323330.1953724307,2546707.0166936666,351.6,handover_end,M001,,end
U01,2014.137665245139,323330.1953724307,2546707.0166936666,435.6365356445313,climb,M001,,end
U01,2014.137665245139,323330.1953724307,2546707.0166936666,435.6365356445313,cruise,M001,,start
U01,2412.8439049332806,318686.2012849663,2545556.1393078705,435.6365356445313,cruise,M001,,end
U01,2412.8439049332806,318686.2012849663,2545556.1393078705,435.6365356445313,descent,M001,,start
U01,2536.018519191093,318686.2012849663,2545556.1393078705,127.7,descent,M001,,end
U01,2536.018519191093,318686.2012849663,2545556.1393078705,127.7,return,M001,,instant
U02,0.0,318686.2012849663,2545556.1393078705,127.7,prep,M002,,start
U02,390.0,318686.2012849663,2545556.1393078705,127.7,climb,M002,,start
U02,390.0,318686.2012849663,2545556.1393078705,127.7,prep,M002,,end
U02,390.0,318686.2012849663,2545556.1393078705,127.7,takeoff,M002,,instant
U02,514.7101582845053,318686.2012849663,2545556.1393078705,501.8304748535156,climb,M002,,end
U02,514.7101582845053,318686.2012849663,2545556.1393078705,501.8304748535156,cruise,M002,,start
U02,892.5874912521838,314816.04690611176,2547919.1562834387,501.8304748535156,cruise,M002,,end
U02,892.5874912521838,314816.04690611176,2547919.1562834387,501.8304748535156,descent,M002,,start
U02,953.91968119359,314816.04690611176,2547919.1562834387,348.5,descent,M002,,end
U02,953.91968119359,314816.04690611176,2547919.1562834387,348.5,handover_start,M002,,start
U02,1163.91968119359,314816.04690611176,2547919.1562834387,348.5,climb,M002,,start
U02,1163.91968119359,314816.04690611176,2547919.1562834387,348.5,handover_end,M002,,end
