site_id,min_access_margin_db,backhaul_margin_db,min_twohop_margin_db,outbound_time_s,return_time_s,horizontal_time_s,flight_energy_kwh,setup_energy_kwh,service_energy_kwh,total_energy_kwh,energy_margin_kwh,return_soc,climb_out_m,climb_back_m,desc_out_m,desc_back_m,cruise_alt_m,horizontal_distance_m,max_dem_on_route_m,setup_time_s,earliest_ready_s,required_transport_shift_s,as_is_timing_feasible,atomic_task_id,parent_gap_id,pareto_id,transport_sortie_id,service_start_s,service_end_s,service_duration_s,robust_slack_db,Gamma_C_db
E52_4513f74e4ba51c209cccc792,5.5527897981519345,9.790974506635663,5.5527897981519345,548.6050089915749,589.1156759023821,854.1460165183059,0.3160741321008959,0.009166666666666667,0.3885807291666667,0.7138215279342293,1.8461784720657712,0.7769307725205534,486.1280029296875,0.0,0.0,486.1280029296875,613.8280029296875,6406.095123887295,391.8226318359375,30.0,758.6050089915749,10.886258991574891,0,P01_GAMMA02_M001_00,P01_GAMMA02_M001_00,P01,M001,747.71875,2019.4375,1271.71875,3.5527897981519345,2.0
E52_b677873645e212a13901ede2,4.530060036667436,9.230718628911887,4.530060036667436,575.9444140089429,616.0268887810784,911.3939793850733,0.3339048259552679,0.009166666666666667,0.3885807291666667,0.7316522217886012,1.8283477782113993,0.7713586806910622,480.989697265625,0.0,0.0,480.989697265625,608.689697265625,6835.45484538805,390.4056396484375,30.0,785.9444140089429,38.225664008942886,0,P01_GAMMA02_M001_00,P01_GAMMA02_M001_00,P01,M001,747.71875,2019.4375,1271.71875,2.530060036667436,2.0
E52_575c4f100493de938643a13d,5.145316592407042,2.099203328999508,2.099203328999508,470.05405043895155,518.0123847895375,652.3580947743875,0.259560220504969,0.009166666666666667,0.3885807291666667,0.6573076163383024,1.902692383661698,0.7945913698942806,575.5000122070312,0.0,0.0,575.5000122070312,703.2000122070312,4892.685710807907,437.3766174316406,30.0,680.0540504389515,0.0,1,P01_GAMMA02_M001_00,P01_GAMMA02_M001_00,P01,M001,747.71875,2019.4375,1271.71875,0.09920332899950779,2.0
E52_0c56c0f390b777971f9a7e58,4.866826508382303,2.1743859331465814,2.1743859331465814,461.3120930283848,507.24512830670517,647.0259743868478,0.2556960576036008,0.009166666666666667,0.3885807291666667,0.6534434534369342,1.9065565465630663,0.795798920800958,551.1964233398437,0.0,0.0,551.1964233398437,678.8964233398438,4852.694807901358,431.4708251953125,30.0,671.3120930283849,0.0,1,P01_GAMMA02_M001_00,P01_GAMMA02_M001_00,P01,M001,747.71875,2019.4375,1271.71875,0.17438593314658135,2.0
E52_cdef0b479e00ae29ebd83132,4.7736137987582055,10.01648148125875,4.7736137987582055,520.0071121141804,554.5433095222207,832.7970397801186,0.3028799960747676,0.009166666666666667,0.3885807291666667,0.700627391908101,1.8593726080918995,0.7810539400287184,414.4343688964844,0.0,0.0,414.4343688964844,542.1343688964844,6245.977798350889,297.6476745605469,30.0,730.0071121141804,0.0,1,P01_GAMMA02_M001_00,P01_GAMMA02_M001_00,P01,M001,747.71875,2019.4375,1271.71875,2.7736137987582055,2.0
E52_0c9d91fc306062a18ada9948,6.6994788197632005,15.697900697510477,6.6994788197632005,331.42241999480143,370.2725110389095,429.7442937249544,0.1787296459836012,0.009166666666666667,0.09114149305555555,0.27903780570582337,2.280962194294177,0.9128006857169302,466.2010925292969,0.0,0.0,466.2010925292969,593.9010925292969,3223.082202937158,326.7436828613281,30.0,541.4224199948014,0.0,1,P01_GAMMA02_M002_00,P01_GAMMA02_M002_00,P01,M002,728.6875,1026.96875,298.28125,4.6994788197632005,2.0
E52_27bf01e9e990859ae5993708,6.99828513729183,15.932490639468014,6.99828513729183,318.6138217216496,355.0514931287134,418.60161500091635,0.17259630304263499,0.009166666666666667,0.09114149305555555,0.2729044627648572,2.2870955372351434,0.9147173553859821,437.25205688476564,0.0,0.0,437.25205688476564,564.9520568847656,3139.5121125068727,326.2397766113281,30.0,528.6138217216496,0.0,1,P01_GAMMA02_M002_00,P01_GAMMA02_M002_00,P01,M002,728.6875,1026.96875,298.28125,4.99828513729183,2.0
E52_27fdcb9bc2da20af468e67a1,6.2609655221280605,15.630401191469062,6.2609655221280605,333.5201066466774,372.5049327982074,433.1312563841751,0.1799553449394086,0.009166666666666667,0.09114149305555555,0.2802635046616308,2.2797364953383696,0.9124176547932403,467.8179138183594,0.0,0.0,467.8179138183594,595.5179138183594,3248.4844228813135,322.1230773925781,30.0,543.5201066466774,0.0,1,P01_GAMMA02_M002_00,P01_GAMMA02_M002_00,P01,M002,728.6875,1026.96875,298.28125,4.2609655221280605,2.0
E52_347c51b45a583dd4c5a4aad0,4.161731061819836,10.359339260709504,4.161731061819836,545.8106765870443,594.6474365357748,798.6007934817058,0.3072138543106079,0.009166666666666667,0.09114149305555555,0.40752201403283006,2.1524779859671703,0.8726493706147407,586.0411193847656,0.0,0.0,586.0411193847656,713.7411193847656,5989.505951112793,425.30462646484375,30.0,755.8106765870443,27.123176587044327,0,P01_GAMMA02_M002_00,P01_GAMMA02_M002_00,P01,M002,728.6875,1026.96875,298.28125,2.161731061819836,2.0
E52_47db2d0d55c92154c779a4c9,8.896722853409045,16.45726286038159,8.896722853409045,312.62709924858126,351.3219092257948,393.08533863388124,0.16685347284684848,0.009166666666666667,0.09114149305555555,0.26716163256907066,2.29283836743093,0.9165119898221654,464.3377197265625,0.0,0.0,464.3377197265625,592.0377197265625,2948.1400397541092,295.61395263671875,30.0,522.6270992485813,0.0,1,P01_GAMMA02_M002_00,P01_GAMMA02_M002_00,P01,M002,728.6875,1026.96875,298.28125,6.896722853409045,2.0
