node_id,time,x,y,z,mode,task_id,relay_id,phase_role
U03,3628.807457783855,318686.2012849663,2545556.1393078705,127.7,prep,M001,,start
U03,3958.807457783855,318686.2012849663,2545556.1393078705,127.7,climb,M001,,start
U03,3958.807457783855,318686.2012849663,2545556.1393078705,127.7,prep,M001,,end
U03,3958.807457783855,318686.2012849663,2545556.1393078705,127.7,takeoff,M001,,instant
U03,4048.987179870444,318686.2012849663,2545556.1393078705,398.2391662597656,climb,M001,,end
U03,4048.987179870444,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M001,,start
U03,4691.881284448935,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M001,,end
U03,4691.881284448935,319528.97595366306,2553224.6970819803,398.2391662597656,descent,M001,,start
U03,4759.856950952841,319528.97595366306,2553224.6970819803,228.3,descent,M001,,end
U03,4759.856950952841,319528.97595366306,2553224.6970819803,228.3,handover_start,M001,,start
U03,4939.856950952841,319528.97595366306,2553224.6970819803,228.3,climb,M001,,start
U03,4939.856950952841,319528.97595366306,2553224.6970819803,228.3,handover_end,M001,,end
U03,4996.503339706096,319528.97595366306,2553224.6970819803,398.2391662597656,climb,M001,,end
U03,4996.503339706096,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M001,,start
U03,5639.3974442845865,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M001,,end
U03,5639.3974442845865,318686.2012849663,2545556.1393078705,398.2391662597656,descent,M001,,start
U03,5747.613110788493,318686.2012849663,2545556.1393078705,127.7,descent,M001,,end
U03,5747.613110788493,318686.2012849663,2545556.1393078705,127.7,return,M001,,instant
U02,4364.984820676556,318686.2012849663,2545556.1393078705,127.7,prep,M002,,start
U02,4694.984820676556,318686.2012849663,2545556.1393078705,127.7,climb,M002,,start
U02,4694.984820676556,318686.2012849663,2545556.1393078705,127.7,prep,M002,,end
U02,4694.984820676556,318686.2012849663,2545556.1393078705,127.7,takeoff,M002,,instant
U02,4785.164542763145,318686.2012849663,2545556.1393078705,398.2391662597656,climb,M002,,end
U02,4785.164542763145,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M002,,start
U02,5428.058647341635,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M002,,end
U02,5428.058647341635,319528.97595366306,2553224.6970819803,398.2391662597656,descent,M002,,start
U02,5496.034313845541,319528.97595366306,2553224.6970819803,228.3,descent,M002,,end
U02,5496.034313845541,319528.97595366306,2553224.6970819803,228.3,handover_start,M002,,start
U02,5676.034313845541,319528.97595366306,2553224.6970819803,228.3,climb,M002,,start
U02,5676.034313845541,319528.97595366306,2553224.6970819803,228.3,handover_end,M002,,end
U02,5732.680702598796,319528.97595366306,2553224.6970819803,398.2391662597656,climb,M002,,end
U02,5732.680702598796,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M002,,start
U02,6375.574807177287,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M002,,end
U02,6375.574807177287,318686.2012849663,2545556.1393078705,398.2391662597656,descent,M002,,start
U02,6483.790473681193,318686.2012849663,2545556.1393078705,127.7,descent,M002,,end
U02,6483.790473681193,318686.2012849663,2545556.1393078705,127.7,return,M002,,instant
U01,5352.8926782429135,318686.2012849663,2545556.1393078705,127.7,prep,M003,,start
U01,5682.8926782429135,318686.2012849663,2545556.1393078705,127.7,climb,M003,,start
U01,5682.8926782429135,318686.2012849663,2545556.1393078705,127.7,prep,M003,,end
U01,5682.8926782429135,318686.2012849663,2545556.1393078705,127.7,takeoff,M003,,instant
U01,5773.072400329502,318686.2012849663,2545556.1393078705,398.2391662597656,climb,M003,,end
U01,5773.072400329502,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M003,,start
U01,6415.966504907992,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M003,,end
U01,6415.966504907992,319528.97595366306,2553224.6970819803,398.2391662597656,descent,M003,,start
U01,6483.942171411898,319528.97595366306,2553224.6970819803,228.3,descent,M003,,end
U01,6483.942171411898,319528.97595366306,2553224.6970819803,228.3,handover_start,M003,,start
U01,6663.942171411898,319528.97595366306,2553224.6970819803,228.3,climb,M003,,start
U01,6663.942171411898,319528.97595366306,2553224.6970819803,228.3,handover_end,M003,,end
U01,6720.5885601651535,319528.97595366306,2553224.6970819803,398.2391662597656,climb,M003,,end
U01,6720.5885601651535,319528.97595366306,2553224.6970819803,398.2391662597656,cruise,M003,,start
U01,7363.482664743644,318686.2012849663,2545556.1393078705,398.2391662597656,cruise,M003,,end
U01,7363.482664743644,318686.2012849663,2545556.1393078705,398.2391662597656,descent,M003,,start
U01,7471.69833124755,318686.2012849663,2545556.1393078705,127.7,descent,M003,,end
U01,7471.69833124755,318686.2012849663,2545556.1393078705,127.7,return,M003,,instant
U01,3015.7949262853263,318686.2012849663,2545556.1393078705,127.7,prep,M004,,start
U01,3375.7949262853263,318686.2012849663,2545556.1393078705,127.7,climb,M004,,start
U01,3375.7949262853263,318686.2012849663,2545556.1393078705,127.7,prep,M004,,end
U01,3375.7949262853263,318686.2012849663,2545556.1393078705,127.7,takeoff,M004,,instant
U01,3470.9952579096753,318686.2012849663,2545556.1393078705,413.3009948730469,climb,M004,,end
U01,3470.9952579096753,318686.2012849663,2545556.1393078705,413.3009948730469,cruise,M004,,start
U01,4086.8659434240176,324105.4192386115,2550581.156895364,413.3009948730469,cruise,M004,,end
U01,4086.8659434240176,324105.4192386115,2550581.156895364,413.3009948730469,descent,M004,,start
U01,4140.266341373236,324105.4192386115,2550581.156895364,279.8,descent,M004,,end
U01,4140.266341373236,324105.4192386115,2550581.156895364,279.8,handover_start,M004,,start
U01,4320.266341373236,324105.4192386115,2550581.156895364,279.8,climb,M004,,start
U01,4320.266341373236,324105.4192386115,2550581.156895364,279.8,handover_end,M004,,end
U01,4372.50846376907,324105.4192386115,2550581.156895364,436.5263671875,climb,M004,,end
U01,4372.50846376907,324105.4192386115,2550581.156895364,436.5263671875,cruise,M004,,start
U01,4610.4398638687435,322870.60295955674,2548006.8097309223,436.5263671875,cruise,M004,,end
U01,4610.4398638687435,322870.60295955674,2548006.8097309223,436.5263671875,descent,M004,,start
U01,4644.370410743743,322870.60295955674,2548006.8097309223,351.7,descent,M004,,end
U01,4644.370410743743,322870.60295955674,2548006.8097309223,351.7,handover_start,M004,,start
U01,4824.370410743743,322870.60295955674,2548006.8097309223,351.7,climb,M004,,start
U01,4824.370410743743,322870.60295955674,2548006.8097309223,351.7,handover_end,M004,,end
U01,4840.197685320566,322870.60295955674,2548006.8097309223,399.18182373046875,climb,M004,,end
U01,4840.197685320566,322870.60295955674,2548006.8097309223,399.18182373046875,cruise,M004,,start
U01,5244.299938750727,318686.2012849663,2545556.1393078705,399.18182373046875,cruise,M004,,end
U01,5244.299938750727,318686.2012849663,2545556.1393078705,399.18182373046875,descent,M004,,start
U01,5352.892668242915,318686.2012849663,2545556.1393078705,127.7,descent,M004,,end
U01,5352.892668242915,318686.2012849663,2545556.1393078705,127.7,return,M004,,instant
U03,5967.729913025039,318686.2012849663,2545556.1393078705,127.7,prep,M005,,start
U03,6297.729913025039,318686.2012849663,2545556.1393078705,127.7,climb,M005,,start
U03,6297.729913025039,318686.2012849663,2545556.1393078705,127.7,prep,M005,,end
