node_id,node_type,longitude,latitude,x_m,y_m,given_elevation_m,dem_elevation_m,difference_m
O01,dispatch_center,109.2308517,23.0085095,318686.2012849663,2545556.1393078705,127.7,128.7255401611328,-1.0255401611328097
S001,service_area,109.2432319,23.0335927,319988.599872737,2548318.494265952,154.0,153.96136474609375,0.03863525390625
S002,service_area,109.2585519,23.0703271,321607.1664922811,2552367.559439648,189.5,188.7942352294922,0.7057647705078125
S003,service_area,109.1688578,23.0402714,312375.1586337376,2549151.507186076,308.5,308.51068115234375,-0.01068115234375
S004,service_area,109.2381714,23.0778414,319528.97595366306,2553224.6970819803,198.3,195.11575317382812,3.1842468261718864
S005,service_area,109.2283003,23.0561338,318488.4830992104,2550833.078209432,165.0,169.03955078125,-4.03955078125
S006,service_area,109.1997836,23.007714,315500.3321695994,2545506.834640633,284.8,275.1272277832031,9.672772216796886
S007,service_area,109.1928191,23.0294186,314816.04690611176,2547919.1562834387,318.5,314.2220458984375,4.2779541015625
S008,service_area,109.2127472,23.0795113,316926.3521472279,2553441.253417357,240.9,248.2891845703125,-7.389184570312494
S009,service_area,109.2541424,23.0552989,321135.4917704948,2550708.7793274075,200.0,189.4370880126953,10.562911987304688
S010,service_area,109.2760168,23.0194009,323330.1953724307,2546707.0166936666,321.6,321.5816650390625,0.018334960937522737
S011,service_area,109.2203356,23.0319231,317639.7049014466,2548161.952054749,182.1,178.04286193847656,4.057138061523432
S012,service_area,109.2831357,23.054464,324105.4192386115,2550581.156895364,249.8,253.31507873535156,-3.515078735351551
S013,service_area,109.2713839,23.0310882,322870.60295955674,2548006.8097309223,321.7,321.70806884765625,-0.008068847656261369
S014,service_area,109.2835966,23.0052097,324088.70956645417,2545126.43549485,321.0,320.9825134277344,0.017486572265625
S015,service_area,109.1923786,23.0494548,314798.3027495933,2550138.497386535,444.5,436.229248046875,8.270751953125
